"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","23,384,365","52,476","4,565,969,494","199.00","199.00","194.10","194.40","-","4.60","194.40","75","194.45","206","0.00",
="0051","元大中型100","182,690","743","13,588,733","75.90","75.90","73.80","74.45","-","1.65","74.35","4","74.45","65","0.00",
="0052","富邦科技","1,840,752","3,390","355,934,035","197.40","197.40","192.40","192.90","-","4.85","192.85","2","192.90","3","0.00",
="0053","元大電子","20,997","148","2,162,364","104.60","104.60","102.10","102.10","-","3.00","102.05","1","102.15","1","0.00",
="0055","元大MSCI金融","374,591","352","10,401,978","27.95","27.95","27.60","27.77","-","0.23","27.77","3","27.78","6","0.00",
="0056","元大高股息","178,994,031","133,459","6,451,895,833","36.45","36.55","35.82","36.00","-","0.56","36.00","1,121","36.01","316","0.00",
="0057","富邦摩台","22,828","139","3,271,256","145.00","145.00","142.00","142.10","-","3.30","141.50","31","141.85","20","0.00",
="0061","元大寶滬深","741,411","247","13,641,661","18.51","18.53","18.31","18.42","-","0.17","18.40","10","18.42","4","0.00",
="006203","元大MSCI台灣","7,378","133","674,488","92.00","92.00","90.85","90.85","-","2.15","90.85","1","90.90","24","0.00",
="006204","永豐臺灣加權","37,804","129","4,281,138","114.00","114.00","113.15","113.30","-","1.95","112.95","1","113.55","15","0.00",
="006205","富邦上証","669,750","210","21,217,095","31.90","31.90","31.55","31.68","-","0.22","31.66","6","31.68","101","0.00",
="006206","元大上證50","150,668","119","4,537,420","30.46","30.46","29.98","30.19","-","0.27","30.15","1","30.19","14","0.00",
="006207","復華滬深","94,823","124","2,277,798","24.20","24.20","23.98","24.01","-","0.19","23.98","15","24.02","1","0.00",
="006208","富邦台50","33,879,297","71,876","3,836,390,786","115.45","115.45","112.65","112.80","-","2.35","112.80","29","112.85","33","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","7.12","5","7.17","5","0.00",
="00631L","元大台灣50正2","12,128,522","20,922","2,799,380,181","238.20","238.70","227.15","229.00","-","11.30","229.00","9","229.05","143","0.00",
="00632R","元大台灣50反1","33,133,129","7,506","770,547,683","22.90","23.42","22.90","23.35","+","0.53","23.35","209","23.36","148","0.00",
="00633L","富邦上証正2","10,640,078","1,527","386,125,171","36.47","36.60","35.85","36.25","-","0.70","36.25","193","36.28","4","0.00",
="00634R","富邦上証反1","535,013","63","2,272,233","4.26","4.27","4.24","4.24","+","0.03","4.24","670","4.25","1","0.00",
="00635U","期元大S&P黃金","859,893","488","26,535,497","30.87","30.91","30.80","30.83","+","0.13","30.83","30","30.84","8","0.00",
="00636","國泰中國A50","1,630,913","360","35,817,910","22.13","22.13","21.82","21.98","-","0.15","21.98","89","22.02","12","0.00",
="00636K","國泰中國A50+U","500","1","3,330","6.66","6.66","6.66","6.66","-","0.11","6.67","10","6.71","6","0.00",
="00637L","元大滬深300正2","92,662,993","9,105","1,365,102,811","14.78","14.86","14.54","14.72","-","0.29","14.72","821","14.73","2","0.00",
="00638R","元大滬深300反1","1,465,000","110","13,194,710","8.90","9.06","8.90","9.00","+","0.12","8.99","155","9.00","219","0.00",
="00639","富邦深100","1,691,297","288","19,179,357","11.32","11.41","11.26","11.34","-","0.10","11.32","11","11.34","48","0.00",
="00640L","富邦日本正2","1,055,246","325","53,375,251","51.35","51.35","50.20","50.20","-","2.20","50.15","97","50.20","4","0.00",
="00641R","富邦日本反1","1,417,015","169","8,756,216","6.14","6.20","6.14","6.20","+","0.10","6.19","93","6.20","7","0.00",
="00642U","期元大S&P石油","8,046,295","1,868","149,235,011","18.57","18.58","18.49","18.57","+","0.87","18.56","1,331","18.57","149","0.00",
="00643","群益深証中小","3,039,263","218","37,521,799","12.43","12.44","12.30","12.33","-","0.14","12.32","30","12.33","44","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","2.77","2","2.81","1","0.00",
="00645","富邦日本","568,039","287","20,956,835","37.18","37.18","36.77","36.86","-","0.65","36.78","2","36.86","96","0.00",
="00646","元大S&P500","3,542,465","3,039","212,727,646","60.20","60.20","59.95","60.05","-","0.80","60.00","70","60.05","210","0.00",
="00647L","元大S&P500正2","432,842","534","41,119,355","95.40","95.50","94.60","94.95","-","3.35","94.90","3","94.95","109","0.00",
="00648R","元大S&P500反1","6,613,168","203","35,107,605","5.30","5.32","5.29","5.32","+","0.10","5.31","1,082","5.32","613","0.00",
="00650L","復華香港正2","25,422,537","1,870","273,223,527","10.94","10.94","10.59","10.77","-","0.34","10.77","187","10.78","3","0.00",
="00651R","復華香港反1","1,434,121","97","11,476,976","7.90","8.06","7.80","8.01","+","0.13","7.99","568","8.01","253","0.00",
="00652","富邦印度","373,283","343","13,690,925","36.74","36.78","36.60","36.75","-","0.17","36.71","50","36.75","19","0.00",
="00653L","富邦印度正2","537,838","252","29,539,248","55.10","55.30","54.60","55.20","-","0.75","55.15","2","55.20","53","0.00",
="00654R","富邦印度反1","261,414","51","1,786,912","6.80","6.87","6.80","6.84","+","0.06","6.82","63","6.84","24","0.00",
="00655L","國泰中國A50正2","6,134,199","835","150,155,589","24.65","24.75","24.21","24.50","-","0.49","24.50","154","24.54","240","0.00",
="00656R","國泰中國A50反1","686,000","36","5,447,210","7.92","7.98","7.92","7.94","+","0.09","7.94","1","7.95","500","0.00",
="00657","國泰日經225","15,969","112","716,978","44.99","44.99","44.88","44.91","-","1.02","44.85","120","44.92","14","0.00",
="00657K","國泰日經225+U","200","2","2,782","13.91","13.91","13.91","13.91","-","0.14","13.87","10","13.91","3","0.00",
="00660","元大歐洲50","4,780","74","169,862","35.69","35.69","35.58","35.58","-","0.52","35.54","1","35.59","1","0.00",
="00661","元大日經225","339,083","207","16,622,013","49.45","49.45","48.79","48.96","-","1.19","48.92","12","48.99","1","0.00",
="00662","富邦NASDAQ","3,562,496","3,508","314,586,360","88.65","88.65","88.10","88.25","-","1.35","88.20","53","88.25","41","0.00",
="00663L","國泰臺灣加權正2","232,896","79","49,249,511","215.95","215.95","207.00","207.60","-","10.80","207.80","3","207.90","15","0.00",
="00664R","國泰臺灣加權反1","28,459,778","1,169","107,052,694","3.72","3.80","3.71","3.78","+","0.09","3.78","1,493","3.79","1,988","0.00",
="00665L","富邦恒生國企正2","55,726,445","3,536","413,310,661","7.50","7.51","7.30","7.46","-","0.19","7.45","27","7.46","679","0.00",
="00666R","富邦恒生國企反1","469,000","24","6,120,030","13.01","13.12","12.99","13.03","+","0.22","13.03","8","13.04","10","0.00",
="00668","國泰美國道瓊","232,707","236","11,694,425","50.35","50.35","50.15","50.35","-","0.55","50.20","193","50.35","160","0.00",
="00668K","國泰美國道瓊+U","200","2","3,044","15.22","15.22","15.22","15.22","-","0.26","15.20","10","15.24","3","0.00",
="00669R","國泰美國道瓊反1","3,987,415","393","27,369,895","6.77","6.88","6.77","6.88","+","0.15","6.87","155","6.88","256","0.00",
="00670L","富邦NASDAQ正2","3,204,438","4,527","413,069,759","129.90","129.95","128.10","128.40","-","5.50","128.35","22","128.40","78","0.00",
="00671R","富邦NASDAQ反1","13,436,608","631","48,006,552","3.56","3.59","3.55","3.58","+","0.07","3.58","45","3.59","4,393","0.00",
="00673R","期元大S&P原油反1","92,668,560","5,874","616,180,870","6.72","6.72","6.62","6.64","-","0.34","6.64","363","6.65","3,810","0.00",
="00674R","期元大S&P黃金反1","297,188","62","2,787,480","9.38","9.39","9.36","9.39","-","0.06","9.39","24","9.40","133","0.00",
="00675L","富邦臺灣加權正2","11,831,491","13,101","1,088,191,697","95.05","95.05","90.60","91.30","-","4.40","91.30","56","91.35","82","0.00",
="00676R","富邦臺灣加權反1","22,003,383","680","46,209,603","2.07","2.12","2.06","2.10","+","0.05","2.10","5,954","2.11","134","0.00",
="00678","群益那斯達克生技","548,960","114","15,361,564","28.00","28.01","27.96","27.98","-","0.49","27.97","2","27.98","46","0.00",
="00680L","元大美債20正2","88,594,609","4,860","625,153,258","7.04","7.08","7.03","7.05","-","0.08","7.05","4,381","7.06","3,130","0.00",
="00681R","元大美債20反1","261,000","34","5,814,360","22.23","22.32","22.22","22.31","+","0.15","22.28","217","22.32","113","0.00",
="00682U","期元大美元指數","33,000","14","738,460","22.34","22.40","22.32","22.40","+","0.15","22.38","70","22.40","33","0.00",
="00683L","期元大美元指正2","132,068","38","3,367,907","25.26","25.59","25.26","25.58","+","0.33","25.57","57","25.58","92","0.00",
