"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="00400A","主動國泰動能高息","30,673,942","9,829","436,547,120","14.50","14.53","14.03","14.10","-","0.15","14.09","103","14.10","75","0.00",
="00401A","主動摩根台灣鑫收","1,868,549","563","25,060,040","13.58","13.66","13.22","13.26","-","0.12","13.26","517","13.29","2","0.00",
="00402A","主動安聯美國科技","7,996,878","1,488","78,656,900","9.75","9.89","9.75","9.79","+","0.04","9.79","6","9.80","919","0.00",
="00403A","主動統一升級50","152,276,689","35,399","1,596,068,781","10.64","10.70","10.31","10.38","-","0.10","10.37","923","10.38","2,410","0.00",
="00404A","主動聯博動能50","8,828,978","1,273","87,129,095","10.00","10.04","9.77","9.82","-","0.07","9.81","7","9.82","170","0.00",
="00405A","主動富邦台灣龍耀","66,962,173","18,362","584,550,191","8.94","8.98","8.58","8.61","-","0.16","8.60","2,350","8.61","2,794","0.00",
="00406A","主動中信台灣收益","12,653,595","4,070","123,918,926","10.00","10.00","9.70","9.73","-","0.13","9.72","273","9.73","94","0.00",
="00407A","主動凱基台灣","78,886,375","21,461","740,157,379","9.57","9.61","9.28","9.32","-","0.10","9.31","904","9.32","945","0.00",
="0050","元大台灣50","71,523,037","122,095","7,623,449,944","107.00","107.55","105.70","106.00","+","0.20","106.00","343","106.05","1,245","0.00",
="0051","元大中型100","76,807","634","11,084,013","144.25","145.95","142.50","143.80","-","0.45","142.60","1","142.95","1","0.00",
="0052","富邦科技","24,847,266","15,629","1,550,229,555","62.30","62.95","61.80","62.10","+","0.10","62.05","22","62.10","692","0.00",
="0053","元大電子","49,899","2,218","12,017,747","242.95","242.95","238.80","239.20","+","2.20","237.05","1","239.30","14","0.00",
="0055","元大MSCI金融","313,332","535","13,362,487","42.66","43.20","42.35","42.61","-","0.05","42.51","1","42.61","16","0.00",
="0056","元大高股息","49,611,568","45,066","2,611,757,742","53.10","53.45","52.15","52.40","-","0.25","52.40","35","52.45","110","0.00",
="0057","富邦摩台","13,966","1,258","4,425,180","318.05","318.05","315.15","315.15","+","1.00","310.00","10","315.20","1","0.00",
="0061","元大寶滬深","166,002","216","4,130,128","25.04","25.13","24.64","24.64","-","0.35","24.62","1","24.68","10","0.00",
