"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","20,055,649","41,908","3,217,845,954","161.30","161.30","159.45","160.55","-","1.80","160.50","373","160.55","3","0.00",
="0051","元大中型100","56,102","332","3,714,674","65.75","66.90","65.50","66.50","+","0.20","66.50","4","66.65","20","0.00",
="0052","富邦科技","1,142,568","1,825","178,110,074","156.10","156.95","155.00","156.70","-","0.95","156.65","5","156.70","6","0.00",
="0053","元大電子","4,964","105","419,185","84.55","84.75","84.45","84.55","-","0.45","83.80","56","84.60","56","0.00",
="0055","元大MSCI金融","95,165","431","2,475,844","26.10","26.10","25.92","26.00","-","0.32","26.00","3","26.01","1","0.00",
="0056","元大高股息","69,290,077","44,954","2,256,095,016","32.78","32.78","32.38","32.60","-","0.25","32.59","621","32.60","14","0.00",
="0057","富邦摩台","15,950","96","1,908,210","119.70","120.20","119.40","120.20","-","0.70","119.50","1","119.95","20","0.00",
="0061","元大寶滬深","256,720","158","4,731,210","18.29","18.54","18.22","18.48","+","0.29","18.48","49","18.50","2","0.00",
="006203","元大MSCI台灣","3,262","87","244,854","75.10","75.10","75.00","75.00","-","0.50","74.15","25","74.80","1","0.00",
="006204","永豐臺灣加權","2,147","94","210,173","98.15","98.15","98.15","98.15","-","0.70","97.85","1","98.20","20","0.00",
="006205","富邦上証","842,928","524","26,959,584","31.80","32.15","31.80","32.03","+","0.38","32.02","11","32.03","1","0.00",
="006206","元大上證50","129,435","140","4,010,104","30.80","31.10","30.70","31.02","+","0.43","30.91","80","30.99","1","0.00",
="006207","復華滬深","493,877","99","11,795,962","23.92","24.15","23.75","24.07","+","0.34","24.07","26","24.08","50","0.00",
="006208","富邦台50","7,772,879","19,384","732,358,255","94.70","94.90","93.55","94.45","-","0.65","94.40","91","94.45","162","0.00",
="00625K","富邦上証+R","0","0","0","--","--","--","--"," ","0.00","7.23","5","7.31","5","0.00",
="00631L","元大台灣50正2","12,526,224","9,016","1,956,038,481","156.70","158.60","153.90","157.30","-","0.80","157.25","9","157.30","133","0.00",
="00632R","元大台灣50反1","74,416,100","11,814","1,939,253,304","26.00","26.27","25.86","25.98","+","0.04","25.98","297","25.99","54","0.00",
="00633L","富邦上証正2","8,506,494","992","313,452,288","36.55","37.10","36.40","37.07","+","0.94","37.06","3","37.07","172","0.00",
="00634R","富邦上証反1","354,230","55","1,423,306","4.03","4.04","4.01","4.01","-","0.06","4.01","3","4.02","2","0.00",
="00635U","期元大S&P黃金","11,471,333","3,914","428,312,785","37.46","37.57","37.10","37.27","+","0.40","37.26","68","37.27","56","0.00",
="00636","國泰中國A50","1,334,395","364","29,828,143","22.35","22.44","22.23","22.39","+","0.34","22.38","1","22.39","11","0.00",
="00636K","國泰中國A50+U","200","2","1,384","6.92","6.92","6.92","6.92","+","0.08","6.68","1","7.42","1","0.00",
="00637L","元大滬深300正2","44,607,202","5,306","665,869,404","14.81","15.05","14.76","15.01","+","0.42","15.00","252","15.01","1,464","0.00",
="00638R","元大滬深300反1","478,522","83","4,068,665","8.52","8.54","8.48","8.50","-","0.11","8.50","10","8.51","206","0.00",
="00639","富邦深100","611,062","493","6,691,575","10.90","11.02","10.88","10.99","+","0.22","10.98","5","10.99","133","0.00",
="00640L","富邦日本正2","1,307,196","431","56,584,823","42.86","43.63","42.86","43.51","+","1.38","43.50","10","43.51","44","0.00",
="00641R","富邦日本反1","1,648,894","167","10,474,225","6.37","6.38","6.33","6.34","-","0.10","6.34","29","6.35","369","0.00",
="00642U","期元大S&P石油","6,896,505","1,248","104,671,231","15.12","15.28","15.10","15.27","+","0.53","15.26","45","15.27","464","0.00",
="00643","群益深証中小","2,600,771","164","31,939,312","12.27","12.32","12.19","12.27","+","0.07","12.25","10","12.27","21","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","2.78","2","2.82","1","0.00",
="00645","富邦日本","185,410","564","6,469,200","34.64","35.06","34.64","34.99","+","0.52","34.98","1","34.99","2","0.00",
="00646","元大S&P500","1,369,241","1,985","73,859,739","53.70","54.15","53.70","54.10","+","0.10","54.05","25","54.10","665","0.00",
="00647L","元大S&P500正2","202,212","168","15,026,682","74.10","74.75","74.05","74.70"," ","0.00","74.65","21","74.70","145","0.00",
="00648R","元大S&P500反1","2,970,560","204","16,751,088","5.64","5.65","5.62","5.62","-","0.02","5.62","2,221","5.63","2","0.00",
="00650L","復華香港正2","16,475,394","1,930","210,214,607","12.53","12.96","12.50","12.86","+","0.56","12.85","1,050","12.86","18","0.00",
="00651R","復華香港反1","1,692,070","213","11,475,482","6.86","6.87","6.73","6.77","-","0.13","6.76","1","6.77","511","0.00",
="00652","富邦印度","289,403","574","10,473,033","36.01","36.32","36.01","36.30","+","0.27","36.29","1","36.30","49","0.00",
="00653L","富邦印度正2","94,926","90","4,979,264","52.15","52.75","52.10","52.45","+","0.40","52.45","44","52.60","88","0.00",
="00654R","富邦印度反1","315,000","35","2,153,640","6.85","6.85","6.82","6.84","-","0.01","6.83","9","6.84","1","0.00",
="00655L","國泰中國A50正2","2,551,019","387","63,562,238","24.75","25.07","24.65","25.04","+","0.62","25.03","1","25.04","303","0.00",
="00656R","國泰中國A50反1","256,050","49","1,916,093","7.49","7.54","7.46","7.48","-","0.07","7.46","394","7.48","294","0.00",
="00657","國泰日經225","29,587","75","1,206,441","40.58","40.87","40.56","40.80","+","0.63","40.75","1","40.82","100","0.00",
="00657K","國泰日經225+U","200","2","2,522","12.61","12.61","12.61","12.61","+","0.08","12.51","4","12.67","2","0.00",
="00660","元大歐洲50","141,532","157","5,137,153","36.16","36.47","36.09","36.31","+","0.22","36.24","1","36.31","68","0.00",
="00661","元大日經225","69,068","111","3,063,860","44.18","44.52","44.18","44.44","+","0.59","44.42","1","44.45","100","0.00",
="00662","富邦NASDAQ","1,353,328","1,558","103,922,790","76.65","77.05","76.50","77.00","+","0.10","76.95","18","77.00","754","0.00",
="00663L","國泰臺灣加權正2","24,493","24","3,488,142","141.95","144.40","140.95","142.80","-","1.40","143.50","1","143.65","67","0.00",
="00664R","國泰臺灣加權反1","27,501,662","1,570","115,473,312","4.20","4.23","4.17","4.19","+","0.01","4.18","3,431","4.19","127","0.00",
="00665L","富邦恒生國企正2","43,885,239","4,431","395,668,056","8.80","9.16","8.80","9.09","+","0.36","9.09","1,391","9.10","109","0.00",
="00666R","富邦恒生國企反1","625,009","99","6,755,637","10.94","10.94","10.72","10.76","-","0.20","10.76","41","10.78","116","0.00",
="00668","國泰美國道瓊","61,277","113","2,876,871","47.00","47.17","46.80","47.17","-","0.18","47.12","20","47.15","1","0.00",
="00668K","國泰美國道瓊+U","200","2","2,886","14.43","14.43","14.43","14.43","-","0.25","14.30","1","14.69","1","0.00",
="00669R","國泰美國道瓊反1","3,259,225","344","22,823,178","7.00","7.03","6.99","6.99"," ","0.00","6.99","1,160","7.00","168","0.00",
="00670L","富邦NASDAQ正2","2,013,474","1,181","187,614,428","92.95","93.70","92.80","93.55","+","0.35","93.50","38","93.55","7","0.00",
="00671R","富邦NASDAQ反1","23,604,880","910","92,365,480","3.93","3.93","3.89","3.90","-","0.03","3.89","6,140","3.90","889","0.00",
