證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00679B,元大美債20年,"9,860,000","1,479,051","8,380,949",0.0,0.0,0.0,0,0,0,"10,421,042","470,000","1,447,000","-977,000","18,418,042","7,020,000","11,398,042","18,801,991"
00687B,國泰20年美債,"12,179,000","818,200","11,360,800",0.0,0.0,0.0,0,0,0,"15,439,859","1,050,000",0,"1,050,000","14,845,859","456,000","14,389,859","26,800,659"
00687C,國泰20年美債+櫃U,0,0,0,0.0,0.0,0.0,0,0,0,"1,000",0,0,0,"26,200","25,200","1,000","1,000"
00694B,富邦美債1-3,"3,000","15,000","-12,000",0.0,0.0,0.0,0,0,0,"4,821",0,0,0,"102,000","97,179","4,821","-7,179"
00695B,富邦美債7-10,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"23,001",0,0,0,"239,001","216,000","23,001","22,001"
00696B,富邦美債20年,"1,114,000","185,000","929,000",0.0,0.0,0.0,0,0,0,"164,818",0,"2,000","-2,000","2,129,818","1,963,000","166,818","1,093,818"
00697B,元大美債7-10,"8,000","3,000","5,000",0.0,0.0,0.0,0,0,0,"109,053",0,0,0,"163,053","54,000","109,053","114,053"
00719B,元大美債1-3,"366,000","327,200","38,800",0.0,0.0,0.0,0,0,0,"-51,104",0,0,0,"320,000","371,104","-51,104","-12,304"
00720B,元大投資級公司債,"1,223,061","128,000","1,095,061",0.0,0.0,0.0,0,0,0,"3,112,458",0,0,0,"3,358,000","245,542","3,112,458","4,207,519"
00722B,群益投資級電信債,"344,006","37,000","307,006",0.0,0.0,0.0,0,0,0,"316,915",0,0,0,"2,443,201","2,126,286","316,915","623,921"
00723B,群益投資級科技債,"10,000","94,000","-84,000",0.0,0.0,0.0,0,0,0,"96,000",0,0,0,"225,000","129,000","96,000","12,000"
00724B,群益投資級金融債,"374,000","398,000","-24,000",0.0,0.0,0.0,0,0,0,"195,016",0,0,0,"3,730,231","3,535,215","195,016","171,016"
00725B,國泰投資級公司債,"53,000","1,042,000","-989,000",0.0,0.0,0.0,0,0,0,"1,582,782","3,000",0,"3,000","2,006,000","426,218","1,579,782","593,782"
00726B,國泰新興投等債,"18,000","2,000","16,000",0.0,0.0,0.0,0,0,0,"75,274",0,0,0,"181,300","106,026","75,274","91,274"
00727B,國泰優選非投等債,0,0,0,0.0,0.0,0.0,0,0,0,"6,690",0,0,0,"114,548","107,858","6,690","6,690"
00734B,台新JPM新興債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00740B,富邦全球投等債,"217,000","9,000","208,000",0.0,0.0,0.0,0,0,0,"-646,311",0,0,0,"1,349,000","1,995,311","-646,311","-438,311"
00741B,富邦全球非投等債,0,0,0,0.0,0.0,0.0,0,0,0,"-10,124",0,0,0,"151,000","161,124","-10,124","-10,124"
00746B,富邦A級公司債,"32,000","75,000","-43,000",0.0,0.0,0.0,0,0,0,"86,084",0,0,0,"438,084","352,000","86,084","43,084"
00749B,凱基新興債10+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00750B,凱基科技債10+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00751B,元大AAA至A公司債,"751,000","746,000","5,000",0.0,0.0,0.0,0,0,0,"2,346,255","96,000","96,000",0,"2,589,000","242,745","2,346,255","2,351,255"
00754B,群益AAA-AA公司債,"1,000","1,000",0,0.0,0.0,0.0,0,0,0,"-40,179",0,0,0,"110,274","150,453","-40,179","-40,179"
00755B,群益投資級公用債,0,"15,000","-15,000",0.0,0.0,0.0,0,0,0,"-5,000",0,0,0,"120,000","125,000","-5,000","-20,000"
00756B,群益投等新興公債,"81,000",0,"81,000",0.0,0.0,0.0,0,0,0,"-6,763",0,0,0,"113,237","120,000","-6,763","74,237"
00758B,復華能源債,0,0,0,0.0,0.0,0.0,0,0,0,-23,0,0,0,"100,000","100,023",-23,-23
00759B,復華製藥債,0,0,0,0.0,0.0,0.0,0,0,0,-24,0,0,0,"100,000","100,024",-24,-24
00760B,復華新興企業債,"3,000","1,000","2,000",0.0,0.0,0.0,0,0,0,"-1,841",0,0,0,"100,999","102,840","-1,841",159
00761B,國泰A級公司債,"3,000","5,000","-2,000",0.0,0.0,0.0,0,0,0,"-3,004",0,0,0,"17,000","20,004","-3,004","-5,004"
00764B,群益25年美債,"404,000","48,000","356,000",0.0,0.0,0.0,0,0,0,"179,135",0,0,0,"3,410,301","3,231,166","179,135","535,135"
