證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00782B,國泰A級公用債,"1,000","5,000","-4,000",0.0,0.0,0.0,0,0,0,"-3,306",0,0,0,"100,000","103,306","-3,306","-7,306"
00784B,富邦中國投等債,0,0,0,0.0,0.0,0.0,0,0,0,"1,000",0,0,0,"101,000","100,000","1,000","1,000"
00785B,富邦金融投等債,"18,000","2,000","16,000",0.0,0.0,0.0,0,0,0,"-19,000",0,0,0,"126,000","145,000","-19,000","-3,000"
00786B,元大10年IG銀行債,"52,000",0,"52,000",0.0,0.0,0.0,0,0,0,"-38,000",0,0,0,"35,000","73,000","-38,000","14,000"
00787B,元大10年IG醫療債,0,0,0,0.0,0.0,0.0,0,0,0,"-7,127",0,0,0,"3,000","10,127","-7,127","-7,127"
00788B,元大10年IG電能債,0,0,0,0.0,0.0,0.0,0,0,0,"-78,000",0,0,0,"63,000","141,000","-78,000","-78,000"
00789B,復華公司債A3,0,"140,000","-140,000",0.0,0.0,0.0,0,0,0,"-29,006",0,0,0,0,"29,006","-29,006","-169,006"
00790B,復華次順位金融債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00791B,復華信用債1-5,"1,000",0,"1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,"1,000"
00792B,群益A級公司債,0,"56,000","-56,000",0.0,0.0,0.0,0,0,0,"47,000",0,0,0,"120,000","73,000","47,000","-9,000"
00793B,群益AAA-A醫療債,0,"24,000","-24,000",0.0,0.0,0.0,0,0,0,"19,000",0,0,0,"139,000","120,000","19,000","-5,000"
