證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00679B,元大美債20年,"19,459,294","7,862,500","11,596,794",0.0,0.0,0.0,0,0,0,"-20,033,388","13,136,000","59,399,276","-46,263,276","42,856,000","16,626,112","26,229,888","-8,436,594"
00687B,國泰20年美債,"560,000","1,365,000","-805,000",0.0,0.0,0.0,0,0,0,"-2,662,871","243,000","541,000","-298,000","8,218,000","10,582,871","-2,364,871","-3,467,871"
00687C,國泰20年美債+櫃U,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"10,200","10,200",0,0
00694B,富邦美債1-3,0,"14,000","-14,000",0.0,0.0,0.0,0,0,0,"4,912",0,0,0,"107,000","102,088","4,912","-9,088"
00695B,富邦美債7-10,"7,000","2,000","5,000",0.0,0.0,0.0,0,0,0,"-33,470",0,0,0,"202,254","235,724","-33,470","-28,470"
00696B,富邦美債20年,"621,000","10,000","611,000",0.0,0.0,0.0,0,0,0,"-670,385",0,"20,000","-20,000","1,960,000","2,610,385","-650,385","-59,385"
00697B,元大美債7-10,0,"3,000","-3,000",0.0,0.0,0.0,0,0,0,"-185,000",0,0,0,0,"185,000","-185,000","-188,000"
00718B,富邦中國政策債,0,0,0,0.0,0.0,0.0,0,0,0,"18,000",0,0,0,"118,000","100,000","18,000","18,000"
00719B,元大美債1-3,"125,000","1,175,000","-1,050,000",0.0,0.0,0.0,0,0,0,"-1,028,824",0,0,0,"366,000","1,394,824","-1,028,824","-2,078,824"
00720B,元大投資級公司債,"9,146","226,000","-216,854",0.0,0.0,0.0,0,0,0,"29,775",0,0,0,"1,241,000","1,211,225","29,775","-187,079"
00722B,群益投資級電信債,"204,000","30,000","174,000",0.0,0.0,0.0,0,0,0,"56,190",0,0,0,"3,347,000","3,290,810","56,190","230,190"
00723B,群益投資級科技債,"1,000",0,"1,000",0.0,0.0,0.0,0,0,0,"-5,000",0,0,0,"126,000","131,000","-5,000","-4,000"
00724B,群益投資級金融債,0,"7,000","-7,000",0.0,0.0,0.0,0,0,0,"9,484","750,000","780,000","-30,000","4,549,000","4,509,516","39,484","2,484"
00725B,國泰投資級公司債,"355,000","712,000","-357,000",0.0,0.0,0.0,0,0,0,"-9,100,105","67,000",0,"67,000","3,385,000","12,552,105","-9,167,105","-9,457,105"
00726B,國泰新興投等債,"2,000","70,000","-68,000",0.0,0.0,0.0,0,0,0,"-11,739",0,0,0,"126,000","137,739","-11,739","-79,739"
00727B,國泰優選非投等債,0,0,0,0.0,0.0,0.0,0,0,0,"32,787",0,0,0,"143,281","110,494","32,787","32,787"
00734B,台新JPM新興債,"45,000","3,000","42,000",0.0,0.0,0.0,0,0,0,"-56,000",0,0,0,0,"56,000","-56,000","-14,000"
00740B,富邦全球投等債,"865,000","15,000","850,000",0.0,0.0,0.0,0,0,0,"-434,043",0,0,0,"3,695,000","4,129,043","-434,043","415,957"
00741B,富邦全球非投等債,"1,150",0,"1,150",0.0,0.0,0.0,0,0,0,"-3,255",0,0,0,"400,000","403,255","-3,255","-2,105"
00746B,富邦A級公司債,"3,000","2,000","1,000",0.0,0.0,0.0,0,0,0,"-12,095",0,0,0,"756,005","768,100","-12,095","-11,095"
00749B,凱基新興債10+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00750B,凱基科技債10+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00751B,元大AAA至A公司債,92,"263,000","-262,908",0.0,0.0,0.0,0,0,0,"-1,457,606",0,0,0,"1,483,000","2,940,606","-1,457,606","-1,720,514"
00754B,群益AAA-AA公司債,0,0,0,0.0,0.0,0.0,0,0,0,"-1,000",0,0,0,"100,000","101,000","-1,000","-1,000"
00755B,群益投資級公用債,0,0,0,0.0,0.0,0.0,0,0,0,"8,000",0,0,0,"109,000","101,000","8,000","8,000"
00756B,群益投等新興公債,"136,000","3,000","133,000",0.0,0.0,0.0,0,0,0,"1,000",0,0,0,"110,000","109,000","1,000","134,000"
00758B,復華能源債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"135,000","135,000",0,0
00759B,復華製藥債,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"1,000",0,0,0,"101,000","100,000","1,000",0
00760B,復華新興企業債,0,"5,000","-5,000",0.0,0.0,0.0,0,0,0,"4,966",0,0,0,"106,000","101,034","4,966",-34
00761B,國泰A級公司債,0,"38,000","-38,000",0.0,0.0,0.0,0,0,0,"-77,924",0,0,0,"197,216","275,140","-77,924","-115,924"
00764B,群益25年美債,0,"938,000","-938,000",0.0,0.0,0.0,0,0,0,"1,020,607","1,500,000","1,500,000",0,"10,571,000","9,550,393","1,020,607","82,607"
00768B,復華20年美債,0,"5,000","-5,000",0.0,0.0,0.0,0,0,0,"18,995",0,0,0,"122,000","103,005","18,995","13,995"
00772B,中信高評級公司債,"866,000","75,000","791,000",0.0,0.0,0.0,0,0,0,"-733,634",0,"412,874","-412,874","1,065,000","1,385,760","-320,760","57,366"
00773B,中信優先金融債,"562,000","34,000","528,000",0.0,0.0,0.0,0,0,0,"182,798",0,0,0,"602,000","419,202","182,798","710,798"
00777B,凱基AAA至A公司債,"2,000","2,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00778B,凱基金融債20+,0,"22,000","-22,000",0.0,0.0,0.0,0,0,0,"-12,000",0,0,0,"100,000","112,000","-12,000","-34,000"
00779B,凱基美債25+,"70,000","194,000","-124,000",0.0,0.0,0.0,0,0,0,"259,000",0,0,0,"577,000","318,000","259,000","135,000"
00780B,國泰A級金融債,"35,000","35,000",0,0.0,0.0,0.0,0,0,0,"21,000",0,0,0,"121,000","100,000","21,000","21,000"
00781B,國泰A級科技債,0,0,0,0.0,0.0,0.0,0,0,0,"-2,096",0,0,0,"100,000","102,096","-2,096","-2,096"
00782B,國泰A級公用債,"1,000","4,000","-3,000",0.0,0.0,0.0,0,0,0,"4,420",0,0,0,"106,000","101,580","4,420","1,420"
