證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00679B,元大美債20年,"2,613,443","11,015,000","-8,401,557",0.0,0.0,0.0,0,0,0,"2,708,600","1,257,000","4,897,000","-3,640,000","14,247,000","7,898,400","6,348,600","-5,692,957"
00687B,國泰20年美債,"3,907,570","1,435,020","2,472,550",0.0,0.0,0.0,0,0,0,"1,450,445","356,000","1,500,000","-1,144,000","15,240,000","12,645,555","2,594,445","3,922,995"
00687C,國泰20年美債+櫃U,0,0,0,0.0,0.0,0.0,0,0,0,"-2,000",0,0,0,"56,300","58,300","-2,000","-2,000"
00694B,富邦美債1-3,"162,000","16,000","146,000",0.0,0.0,0.0,0,0,0,"-181,196",0,0,0,"96,000","277,196","-181,196","-35,196"
00695B,富邦美債7-10,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"-26,724",0,0,0,"225,000","251,724","-26,724","-27,724"
00696B,富邦美債20年,"1,594,000",0,"1,594,000",0.0,0.0,0.0,0,0,0,"-1,638,017","3,000","307,000","-304,000","3,345,000","4,679,017","-1,334,017","-44,017"
00697B,元大美債7-10,"1,000","40,000","-39,000",0.0,0.0,0.0,0,0,0,"-271,619",0,0,0,"116,181","387,800","-271,619","-310,619"
00718B,富邦中國政策債,0,0,0,0.0,0.0,0.0,0,0,0,"9,991",0,0,0,"110,000","100,009","9,991","9,991"
00719B,元大美債1-3,"301,000","39,000","262,000",0.0,0.0,0.0,0,0,0,"-807,956",0,"300,000","-300,000","277,999","785,955","-507,956","-545,956"
00720B,元大投資級公司債,"705,100","202,000","503,100",0.0,0.0,0.0,0,0,0,"-297,174",0,0,0,"2,139,000","2,436,174","-297,174","205,926"
00722B,群益投資級電信債,"17,150","264,000","-246,850",0.0,0.0,0.0,0,0,0,"-481,088",0,0,0,"4,227,514","4,708,602","-481,088","-727,938"
00723B,群益投資級科技債,0,0,0,0.0,0.0,0.0,0,0,0,"-2,050",0,0,0,"100,000","102,050","-2,050","-2,050"
00724B,群益投資級金融債,"108,000","385,000","-277,000",0.0,0.0,0.0,0,0,0,"107,721","1,499,000","1,518,000","-19,000","5,339,999","5,213,278","126,721","-169,279"
00725B,國泰投資級公司債,"111,000","1,323,000","-1,212,000",0.0,0.0,0.0,0,0,0,"-2,159,931","32,000",0,"32,000","1,973,999","4,165,930","-2,191,931","-3,371,931"
00726B,國泰新興投等債,0,"13,000","-13,000",0.0,0.0,0.0,0,0,0,"-11,405",0,0,0,"113,650","125,055","-11,405","-24,405"
00727B,國泰優選非投等債,0,0,0,0.0,0.0,0.0,0,0,0,"-5,443",0,0,0,"102,022","107,465","-5,443","-5,443"
00734B,台新JPM新興債,"2,000","7,000","-5,000",0.0,0.0,0.0,0,0,0,"35,000",0,0,0,"505,000","470,000","35,000","30,000"
00740B,富邦全球投等債,"44,000","10,000","34,000",0.0,0.0,0.0,0,0,0,"-6,549",0,0,0,"4,004,000","4,010,549","-6,549","27,451"
00741B,富邦全球非投等債,"24,000","1,000","23,000",0.0,0.0,0.0,0,0,0,"39,757",0,0,0,"461,000","421,243","39,757","62,757"
00746B,富邦A級公司債,0,"107,000","-107,000",0.0,0.0,0.0,0,0,0,"83,989",0,0,0,"655,000","571,011","83,989","-23,011"
00749B,凱基新興債10+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00750B,凱基科技債10+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00751B,元大AAA至A公司債,"36,000","169,000","-133,000",0.0,0.0,0.0,0,0,0,"-748,489",0,"200,000","-200,000","1,606,000","2,154,489","-548,489","-881,489"
00754B,群益AAA-AA公司債,0,"2,000","-2,000",0.0,0.0,0.0,0,0,0,"-8,380",0,0,0,"100,000","108,380","-8,380","-10,380"
00755B,群益投資級公用債,0,"3,000","-3,000",0.0,0.0,0.0,0,0,0,"-23,976","2,170",0,"2,170","100,001","126,147","-26,146","-26,976"
00756B,群益投等新興公債,0,"273,000","-273,000",0.0,0.0,0.0,0,0,0,"5,203",0,0,0,"117,000","111,797","5,203","-267,797"
00758B,復華能源債,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"1,000",0,0,0,"101,000","100,000","1,000",0
00759B,復華製藥債,"1,000",0,"1,000",0.0,0.0,0.0,0,0,0,"-1,000",0,0,0,"100,000","101,000","-1,000",0
00760B,復華新興企業債,0,0,0,0.0,0.0,0.0,0,0,0,"-19,975",0,0,0,"100,999","120,974","-19,975","-19,975"
00761B,國泰A級公司債,"3,000","85,000","-82,000",0.0,0.0,0.0,0,0,0,"-89,829",0,0,0,"136,000","225,829","-89,829","-171,829"
00764B,群益25年美債,"487,000","112,000","375,000",0.0,0.0,0.0,0,0,0,"-172,957","1,499,000","1,500,000","-1,000","9,349,000","9,520,957","-171,957","202,043"
00768B,復華20年美債,"1,000","80,000","-79,000",0.0,0.0,0.0,0,0,0,"-347,100",0,0,0,"121,000","468,100","-347,100","-426,100"
00772B,中信高評級公司債,"33,302","3,000","30,302",0.0,0.0,0.0,0,0,0,"235,418",0,0,0,"2,125,000","1,889,582","235,418","265,720"
00773B,中信優先金融債,"62,000","89,000","-27,000",0.0,0.0,0.0,0,0,0,"41,332",0,0,0,"504,000","462,668","41,332","14,332"
00777B,凱基AAA至A公司債,0,"3,000","-3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,"-3,000"
00778B,凱基金融債20+,0,"6,000","-6,000",0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,"-6,000"
00779B,凱基美債25+,"160,000","50,000","110,000",0.0,0.0,0.0,0,0,0,"-115,000",0,0,0,"572,000","687,000","-115,000","-5,000"
00780B,國泰A級金融債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00781B,國泰A級科技債,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"-8,141",0,0,0,"129,000","137,141","-8,141","-9,141"
00782B,國泰A級公用債,0,0,0,0.0,0.0,0.0,0,0,0,"6,997",0,0,0,"107,000","100,003","6,997","6,997"
00784B,富邦中國投等債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00785B,富邦金融投等債,0,0,0,0.0,0.0,0.0,0,0,0,"-1,000",0,0,0,"101,000","102,000","-1,000","-1,000"
00786B,元大10年IG銀行債,0,"89,000","-89,000",0.0,0.0,0.0,0,0,0,"77,691","144,000",0,"144,000",0,"66,309","-66,309","-11,309"
00787B,元大10年IG醫療債,0,0,0,0.0,0.0,0.0,0,0,0,"-22,338","62,000",0,"62,000",0,"84,338","-84,338","-22,338"
00788B,元大10年IG電能債,"1,000","12,000","-11,000",0.0,0.0,0.0,0,0,0,"-21,000",0,0,0,0,"21,000","-21,000","-32,000"
00789B,復華公司債A3,0,0,0,0.0,0.0,0.0,0,0,0,-992,0,0,0,"99,064","100,056",-992,-992
00790B,復華次順位金融債,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00791B,復華信用債1-5,0,0,0,0.0,0.0,0.0,0,0,0,"-1,000",0,0,0,"100,000","101,000","-1,000","-1,000"
00792B,群益A級公司債,0,0,0,0.0,0.0,0.0,0,0,0,"-9,981",0,0,0,"100,019","110,000","-9,981","-9,981"
00793B,群益AAA-A醫療債,0,0,0,0.0,0.0,0.0,0,0,0,"-14,500",0,0,0,"110,000","124,500","-14,500","-14,500"
00794B,群益7+中國政金債,"1,000","1,000",0,0.0,0.0,0.0,0,0,0,"2,000",0,0,0,"101,000","99,000","2,000","2,000"
00795B,中信美國公債20年,"947,990","1,638,000","-690,010",0.0,0.0,0.0,0,0,0,"-2,903,134",0,0,0,"2,514,000","5,417,134","-2,903,134","-3,593,144"
00799B,國泰A級醫療債,"3,000",0,"3,000",0.0,0.0,0.0,0,0,0,"-119,702",0,0,0,"110,000","229,702","-119,702","-116,702"
00834B,第一金金融債10+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00836B,永豐10年A公司債,"88,000","65,000","23,000",0.0,0.0,0.0,0,0,0,"-26,000",0,0,0,"100,000","126,000","-26,000","-3,000"
00840B,凱基IG精選15+,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,0
00841B,凱基AAA-AA公司債,0,"3,000","-3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,"100,000","100,000",0,"-3,000"
00842B,台新美元銀行債,0,0,0,0.0,0.0,0.0,0,0,0,"-9,189",0,0,0,"100,111","109,300","-9,189","-9,189"
00844B,新光15年IG金融債,"16,000","11,000","5,000",0.0,0.0,0.0,0,0,0,"8,000",0,0,0,"23,000","15,000","8,000","13,000"
00845B,富邦新興投等債,0,0,0,0.0,0.0,0.0,0,0,0,"-1,079",0,0,0,"100,000","101,079","-1,079","-1,079"
00846B,富邦歐洲銀行債,0,"4,000","-4,000",0.0,0.0,0.0,0,0,0,465,0,0,0,"101,466","101,001",465,"-3,535"
00847B,中信美國市政債,0,0,0,0.0,0.0,0.0,0,0,0,"-4,000",0,0,0,"307,000","311,000","-4,000","-4,000"
00848B,中信新興亞洲債,0,"5,000","-5,000",0.0,0.0,0.0,0,0,0,"4,000",0,0,0,"305,000","301,000","4,000","-1,000"
00849B,中信EM主權債0-5,0,0,0,0.0,0.0,0.0,0,0,0,"-3,455",0,0,0,"301,146","304,601","-3,455","-3,455"
00853B,統一美債10年Aa-A,0,"6,000","-6,000",0.0,0.0,0.0,0,0,0,"-5,801",0,0,0,"837,289","843,090","-5,801","-11,801"
00856B,永豐1-3年美公債,0,0,0,0.0,0.0,0.0,0,0,0,"-12,000",0,0,0,"4,000","16,000","-12,000","-12,000"
00857B,永豐20年美公債,"213,000","209,000","4,000",0.0,0.0,0.0,0,0,0,"-179,126",0,0,0,"359,000","538,126","-179,126","-175,126"
00858,永豐美國500大,"43,000",0,"43,000",0.0,0.0,0.0,0,0,0,"-221,000",0,0,0,"36,000","257,000","-221,000","-178,000"
00859B,群益0-1年美債,0,0,0,0.0,0.0,0.0,0,0,0,"-1,000",0,0,0,"100,000","101,000","-1,000","-1,000"
00860B,群益1-5Y投資級債,0,0,0,0.0,0.0,0.0,0,0,0,"-21,803",0,0,0,"100,302","122,105","-21,803","-21,803"
00862B,中信投資級公司債,0,"16,000","-16,000",0.0,0.0,0.0,0,0,0,"-9,080",0,0,0,"309,000","318,080","-9,080","-25,080"
00863B,中信全球電信債,0,"7,000","-7,000",0.0,0.0,0.0,0,0,0,"6,000",0,0,0,"306,000","300,000","6,000","-1,000"
00864B,中信美國公債0-1,"229,000",0,"229,000",0.0,0.0,0.0,0,0,0,"-608,499",0,0,0,"225,000","833,499","-608,499","-379,499"
00867B,新光A-BBB電信債,0,0,0,0.0,0.0,0.0,0,0,0,"-2,000",0,0,0,"200,000","202,000","-2,000","-2,000"
00877,復華中國5G,"226,000","62,000","164,000",0.0,0.0,0.0,0,0,0,"315,500",0,0,0,"1,084,872","769,372","315,500","479,500"
00883B,中信ESG投資級債,0,0,0,0.0,0.0,0.0,0,0,0,"-4,444",0,0,0,"300,000","304,444","-4,444","-4,444"
00884B,中信低碳新興債,0,"66,000","-66,000",0.0,0.0,0.0,0,0,0,"62,879",0,0,0,"370,162","307,283","62,879","-3,121"
00886,永豐美國科技,0,"12,400","-12,400",0.0,0.0,0.0,0,0,0,"4,178",0,0,0,"122,178","118,000","4,178","-8,222"
00887,永豐中國科技50大,"502,000","505,000","-3,000",0.0,0.0,0.0,0,0,0,"-24,398",0,0,0,"1,622,340","1,646,738","-24,398","-27,398"
00888,永豐台灣ESG,"46,000","6,000","40,000",0.0,0.0,0.0,0,0,0,"311,797",0,0,0,"571,055","259,258","311,797","351,797"
00890B,凱基ESG BBB債15+,0,"18,000","-18,000",0.0,0.0,0.0,0,0,0,"-12,000",0,0,0,"500,000","512,000","-12,000","-30,000"
00928,中信上櫃ESG 30,"9,000","28,000","-19,000",0.0,0.0,0.0,0,0,0,"-55,465",0,0,0,"46,000","101,465","-55,465","-74,465"
00931B,統一美債20年,"689,000","61,000","628,000",0.0,0.0,0.0,0,0,0,"-311,654",0,0,0,"3,446,000","3,757,654","-311,654","316,346"
00933B,國泰10Y+金融債,10,"1,859,000","-1,858,990",0.0,0.0,0.0,0,0,0,"-3,059,577","300,000",0,"300,000","723,000","4,082,577","-3,359,577","-4,918,567"
00937B,群益ESG投等債20+,"852,000","28,906,100","-28,054,100",0.0,0.0,0.0,0,0,0,"-13,977,798","325,000","1,330,000","-1,005,000","6,601,999","19,574,797","-12,972,798","-42,031,898"
00942B,台新美A公司債20+,0,"415,000","-415,000",0.0,0.0,0.0,0,0,0,"-154,821",0,0,0,"481,000","635,821","-154,821","-569,821"
00948B,中信優息投資級債,"1,200","521,000","-519,800",0.0,0.0,0.0,0,0,0,"1,353,734",0,0,0,"4,929,000","3,575,266","1,353,734","833,934"
00950B,凱基A級公司債,"1,941,000","1,258,000","683,000",0.0,0.0,0.0,0,0,0,"-7,501,556",0,0,0,"1,036,000","8,537,556","-7,501,556","-6,818,556"
00955,中信日本商社,"19,000","699,000","-680,000",0.0,0.0,0.0,0,0,0,"-158,787",0,0,0,"1,044,000","1,202,787","-158,787","-838,787"
00957B,兆豐US優選投等債,0,"2,000","-2,000",0.0,0.0,0.0,0,0,0,"-265,423",0,0,0,"2,000","267,423","-265,423","-267,423"
00958B,永豐ESG銀行債15+,"55,000","93,000","-38,000",0.0,0.0,0.0,0,0,0,"91,787",0,0,0,"974,065","882,278","91,787","53,787"
00959B,大華投等美債15Y+,0,0,0,0.0,0.0,0.0,0,0,0,"-1,364,830",0,0,0,"1,764,000","3,128,830","-1,364,830","-1,364,830"
00966B,統一ESG投等債15+,"1,647,000","1,652,000","-5,000",0.0,0.0,0.0,0,0,0,"211,666",0,"488,000","-488,000","5,304,376","4,604,710","699,666","206,666"
00967B,元大優息美債,"782,000","906,000","-124,000",0.0,0.0,0.0,0,0,0,"-1,206,458",0,"500,000","-500,000","1,212,161","1,918,619","-706,458","-1,330,458"
00968B,元大優息投等債,"472,000","743,000","-271,000",0.0,0.0,0.0,0,0,0,"-3,365,360",0,7,-7,"722,000","4,087,353","-3,365,353","-3,636,360"
00969B,元大零息超長美債,"816,000","946,000","-130,000",0.0,0.0,0.0,0,0,0,"375,044",0,0,0,"2,737,998","2,362,954","375,044","245,044"
00970B,新光BBB投等債20+,"1,554,000","1,569,000","-15,000",0.0,0.0,0.0,0,0,0,"812,088",0,0,0,"3,952,000","3,139,912","812,088","797,088"
00980B,台新特選IG債10+,"566,000",0,"566,000",0.0,0.0,0.0,0,0,0,"371,000",0,0,0,"2,470,000","2,099,000","371,000","937,000"
1240,茂生農經,"2,000",0,"2,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"2,000"
1259,安心,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
1264,德麥,"1,000","1,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1268,漢來美食,"1,000","4,000","-3,000",0.0,0.0,0.0,0,0,0,-214,0,0,0,0,214,-214,"-3,214"
1294,漢田生技,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
1336,台翰,"146,000","71,000","75,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"75,000"
1565,精華,"14,000","128,000","-114,000",0.0,0.0,0.0,0,"32,000","-32,000","1,835","5,000","3,122","1,878",0,43,-43,"-144,165"
1569,濱川,"389,000","489,000","-100,000",0.0,0.0,0.0,0,0,0,"-95,368",0,0,0,"5,000","100,368","-95,368","-195,368"
1570,力肯,"101,000","101,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1580,新麥,"6,000","21,000","-15,000",0.0,0.0,0.0,0,0,0,"-4,000",0,"4,000","-4,000",0,0,0,"-19,000"
1584,精剛,"232,000","203,000","29,000",0.0,0.0,0.0,0,0,0,-568,0,0,0,0,568,-568,"28,432"
1586,和勤,"20,000","10,000","10,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"10,000"
1591,駿吉-KY,"95,000","42,000","53,000",0.0,0.0,0.0,0,0,0,"-1,103",0,0,0,"1,000","2,103","-1,103","51,897"
1593,祺驊,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
1595,川寶,"88,000","91,000","-3,000",0.0,0.0,0.0,0,0,0,"-4,001",0,"4,000","-4,000",0,1,-1,"-7,001"
1599,宏佳騰,"1,000","1,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
1777,生泰,"8,000","6,000","2,000",0.0,0.0,0.0,0,0,0,"8,000","8,000",0,"8,000",0,0,0,"10,000"
1781,合世,"1,000","16,000","-15,000",0.0,0.0,0.0,0,0,0,258,0,0,0,"1,000",742,258,"-14,742"
1784,訊聯,"87,000","72,000","15,000",0.0,0.0,0.0,0,0,0,-700,0,0,0,0,700,-700,"14,300"
1785,光洋科,"787,228","958,000","-170,772",0.0,0.0,0.0,0,0,0,"204,623","206,000","1,748","204,252","6,000","5,629",371,"33,851"
1788,杏昌,"2,000","2,000",0,0.0,0.0,0.0,0,0,0,146,0,0,0,"1,146","1,000",146,146
1796,金穎生技,"12,000","23,000","-11,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-11,000"
1799,易威,"9,000","96,000","-87,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-87,000"
1813,寶利徠,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
1815,富喬,"21,025,296","28,945,490","-7,920,194",0.0,0.0,0.0,0,0,0,"-567,294","60,000","657,000","-597,000","1,277,999","1,248,293","29,706","-8,487,488"
2035,唐榮,"2,000","2,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2061,風青,"13,000","11,000","2,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"2,000"
2063,世鎧,"2,000","2,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
2065,世豐,"2,000","17,000","-15,000",0.0,0.0,0.0,0,0,0,"-33,140",0,"33,050","-33,050",0,90,-90,"-48,140"
2066,世德,"90,000","127,000","-37,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-37,000"
2070,精湛,"86,000","69,000","17,000",0.0,0.0,0.0,0,0,0,-54,0,0,0,0,54,-54,"16,946"
