證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
006201,元大富櫃50,"60,813",56,"1,277,437",21.15,21.15,20.90,20.99,-,0.22,20.94,1,21.01,5,
00679B,元大美債20年,"29,154,402","6,292","849,011,849",29.15,29.16,29.08,29.10,-,0.1,29.09,168,29.10,1526,
00687B,國泰20年美債,"27,279,558","6,555","824,498,376",30.24,30.26,30.18,30.20,-,0.1,30.19,168,30.20,1627,
00687C,國泰20年美債+櫃U,"51,000",9,"470,730",9.23,9.23,9.23,9.23,-,0.03,9.22,277,9.23,101,
00694B,富邦美債1-3,"228,823",46,"9,900,429",43.26,43.34,43.25,43.26,+,0.02,43.24,100,43.25,2,
00695B,富邦美債7-10,"393,982",99,"14,437,572",36.68,36.69,36.62,36.65,-,0.03,36.60,40,36.63,3,
00696B,富邦美債20年,"4,318,336",357,"136,208,236",31.60,31.60,31.50,31.53,-,0.12,31.52,6,31.53,198,
00697B,元大美債7-10,"884,962",242,"32,752,524",37.03,37.04,36.98,37.00,-,0.03,36.99,12,37.00,60,
00718B,富邦中國政策債,"101,130",4,"2,159,128",21.35,21.35,21.34,21.34,-,0.0,21.34,1,21.35,1,
00719B,元大美債1-3,"2,492,456",653,"81,563,880",32.69,32.75,32.68,32.69,-,0.0,32.68,138,32.70,297,
00720B,元大投資級公司債,"8,928,393","2,774","315,443,725",35.40,35.40,35.28,35.30,-,0.19,35.30,256,35.31,4,
00722B,群益投資級電信債,"734,586",322,"28,417,266",38.79,38.79,38.63,38.64,-,0.2,38.64,9,38.65,1,
00723B,群益投資級科技債,"114,014",11,"3,844,033",33.76,33.76,33.71,33.71,-,0.15,33.70,11,33.72,123,
00724B,群益投資級金融債,"5,224,516",215,"184,835,929",35.46,35.46,35.35,35.38,-,0.1,35.37,4,35.38,121,
00725B,國泰投資級公司債,"13,584,834","3,297","511,532,038",37.70,37.72,37.60,37.62,-,0.18,37.62,62,37.63,508,
00726B,國泰新興投等債,"174,185",58,"6,015,748",34.57,34.57,34.51,34.52,-,0.05,34.52,1,34.53,13,
00727B,國泰優選非投等債,"127,699",23,"5,327,669",41.70,41.76,41.68,41.72,-,0.08,41.71,1,41.72,29,
00734B,台新JPM新興債,"503,032",13,"8,033,445",16.00,16.00,15.97,15.97,-,0.03,15.97,27,15.98,5,
00740B,富邦全球投等債,"5,439,505",660,"221,178,590",40.76,40.76,40.63,40.63,-,0.19,40.63,14,40.64,200,
00741B,富邦全球非投等債,"483,103",56,"19,090,990",39.54,39.54,39.48,39.49,-,0.05,39.48,3,39.49,1,
00746B,富邦A級公司債,"1,041,108",94,"38,889,662",37.40,37.40,37.32,37.32,-,0.14,37.31,1,37.32,3,
00749B,凱基新興債10+,"110,098",8,"3,530,063",32.09,32.09,32.06,32.06,-,0.09,32.06,1,32.11,4,
00750B,凱基科技債10+,"110,000",13,"3,916,100",35.61,35.61,35.60,35.60,-,0.17,35.56,1,35.60,1,
00751B,元大AAA至A公司債,"8,668,634","3,348","293,299,379",33.88,33.92,33.78,33.80,-,0.18,33.79,185,33.80,196,
00754B,群益AAA-AA公司債,"74,000",12,"2,689,160",36.35,36.36,36.32,36.33,-,0.19,36.33,50,36.40,20,
00755B,群益投資級公用債,"161,303",114,"5,564,358",34.54,34.54,34.48,34.50,-,0.15,34.48,12,34.55,20,
00756B,群益投等新興公債,"130,709",103,"4,253,743",32.58,32.59,32.53,32.55,-,0.08,32.54,2,32.57,3,
00758B,復華能源債,"100,000",2,"5,320,000",53.20,53.20,53.20,53.20,-,0.25,53.10,28,53.25,31,
00759B,復華製藥債,"100,000",2,"5,720,000",57.20,57.20,57.20,57.20,-,0.35,57.15,1,57.20,1,
00760B,復華新興企業債,"147,507",25,"8,239,153",56.00,56.00,55.85,55.85,-,0.15,55.80,15,55.85,1,
00761B,國泰A級公司債,"970,061",159,"35,547,214",36.72,36.73,36.60,36.62,-,0.16,36.61,6,36.62,123,
00764B,群益25年美債,"10,333,445",366,"313,083,852",30.39,30.39,30.28,30.29,-,0.11,30.29,2,30.30,342,
00768B,復華20年美債,"453,079",66,"25,417,335",56.25,56.25,56.05,56.10,-,0.2,56.05,110,56.10,505,
00772B,中信高評級公司債,"5,078,377",951,"180,664,426",35.68,35.68,35.54,35.56,-,0.16,35.56,11,35.57,193,
00773B,中信優先金融債,"3,673,637",335,"136,743,502",37.28,37.29,37.20,37.22,-,0.15,37.22,37,37.23,108,
00777B,凱基AAA至A公司債,"112,063",10,"3,899,880",34.81,34.81,34.80,34.80,-,0.18,34.79,2,34.81,1,
00778B,凱基金融債20+,"102,315",10,"3,695,764",36.16,36.16,36.12,36.12,-,0.19,36.05,27,36.11,1,
00779B,凱基美債25+,"557,099",29,"17,041,353",30.62,30.63,30.57,30.57,-,0.1,30.57,1,30.58,101,
00780B,國泰A級金融債,"140,370",21,"5,433,402",38.72,38.74,38.69,38.70,-,0.02,38.66,57,38.68,1,
00781B,國泰A級科技債,"281,269",37,"8,850,161",31.52,31.53,31.42,31.42,-,0.18,31.42,4,31.43,10,
00782B,國泰A級公用債,"118,306",16,"3,886,580",32.88,32.88,32.84,32.85,-,0.08,32.84,3,32.85,36,
00784B,富邦中國投等債,"101,312",7,"4,074,654",40.22,40.22,40.15,40.15,-,0.13,40.15,19,40.28,15,
00785B,富邦金融投等債,"148,014",12,"5,392,931",36.43,36.48,36.40,36.42,-,0.16,36.44,1,36.46,20,
00786B,元大10年IG銀行債,"96,225",24,"3,262,666",33.90,33.92,33.90,33.92,-,0.06,33.92,5,33.95,1,
00787B,元大10年IG醫療債,"36,167",39,"1,232,334",34.15,34.15,34.04,34.04,-,0.16,34.05,1,34.06,1,
00788B,元大10年IG電能債,"147,000",37,"4,645,470",31.65,31.65,31.58,31.62,-,0.07,31.62,3,31.63,1,
00789B,復華公司債A3,"831,006",109,"43,291,311",52.15,52.15,51.95,51.95,-,0.25,51.95,15,52.10,5,
00790B,復華次順位金融債,"100,000",4,"5,640,000",56.40,56.40,56.40,56.40,-,0.25,56.20,10,56.50,5,
00791B,復華信用債1-5,"101,000",5,"5,948,950",58.95,58.95,58.90,58.90,-,0.0,58.70,8,58.80,1,
00792B,群益A級公司債,"130,891",71,"4,377,796",33.47,33.47,33.43,33.43,-,0.17,33.41,4,33.44,25,
00793B,群益AAA-A醫療債,"144,000",11,"4,684,360",32.57,32.57,32.51,32.51,-,0.17,32.48,30,32.57,20,
00794B,群益7+中國政金債,"100,000",4,"4,259,500",42.59,42.60,42.59,42.60,-,0.04,42.54,20,42.62,11,
00795B,中信美國公債20年,"9,073,336","2,339","267,688,046",29.53,29.55,29.46,29.47,-,0.1,29.46,1517,29.47,438,
00799B,國泰A級醫療債,"155,860",37,"5,049,919",32.50,32.50,32.35,32.35,-,0.17,32.35,28,32.39,37,
00834B,第一金金融債10+,"143,000",14,"5,075,570",35.55,35.55,35.46,35.50,-,0.09,35.46,1,35.47,1,
00836B,永豐10年A公司債,"106,216",15,"3,225,930",30.42,30.42,30.37,30.37,-,0.16,30.36,30,30.40,50,
00840B,凱基IG精選15+,"100,000",4,"3,181,000",31.81,31.81,31.81,31.81,-,0.14,31.76,1,31.80,1,
00841B,凱基AAA-AA公司債,"103,511",10,"3,256,647",31.51,31.51,31.46,31.46,-,0.15,31.45,4,31.47,1,
00842B,台新美元銀行債,"360,082",12,"12,022,562",33.37,33.46,33.35,33.36,-,0.13,33.35,2,33.37,10,
00844B,新光15年IG金融債,"167,015",19,"5,501,832",32.94,32.99,32.92,32.92,-,0.07,32.89,50,32.91,1,
00845B,富邦新興投等債,"174,000",10,"5,980,960",34.42,34.42,34.34,34.34,-,0.1,34.30,20,34.38,9,
00846B,富邦歐洲銀行債,"167,028",20,"6,200,852",37.10,37.14,37.09,37.11,-,0.03,37.12,1,37.14,10,
00847B,中信美國市政債,"352,000",17,"9,716,760",27.64,27.64,27.59,27.59,-,0.1,27.57,3,27.60,21,
00848B,中信新興亞洲債,"381,018",17,"13,598,734",35.69,35.70,35.67,35.67,-,0.04,35.65,1,35.66,3,
00849B,中信EM主權債0-5,"327,237",16,"12,725,672",38.87,38.91,38.86,38.86,+,0.02,38.84,15,38.86,3,
00853B,統一美債10年Aa-A,"1,008,531",116,"29,399,754",29.23,29.23,29.13,29.13,-,0.14,29.12,110,29.13,6,
00856B,永豐1-3年美公債,"21,819",8,"866,318",39.72,39.72,39.70,39.71,+,0.11,39.64,5,39.67,40,
00857B,永豐20年美公債,"1,518,774",562,"38,183,288",25.18,25.18,25.11,25.13,-,0.08,25.12,51,25.13,176,
00858,永豐美國500大,"447,110",939,"13,908,401",31.09,31.14,31.08,31.13,-,0.32,31.12,15,31.13,3,
00859B,群益0-1年美債,"150,000",17,"6,529,240",43.55,43.55,43.48,43.53,-,0.01,43.53,2,43.54,88,
00860B,群益1-5Y投資級債,"164,634",15,"6,582,969",40.02,40.02,39.98,39.98,+,0.04,39.94,1,39.99,2,
00862B,中信投資級公司債,"446,017",107,"14,850,240",33.31,33.37,33.27,33.28,-,0.18,33.27,9,33.28,1,
00863B,中信全球電信債,"339,259",23,"11,489,908",33.95,33.95,33.84,33.84,-,0.2,33.83,1,33.84,3,
00864B,中信美國公債0-1,"3,155,543",759,"153,169,709",48.67,48.67,48.42,48.44,-,0.0,48.45,29,48.46,175,
00867B,新光A-BBB電信債,"200,088",3,"6,641,014",33.19,33.19,33.19,33.19,-,0.18,33.14,51,33.17,2,
00870B,元大15年EM主權債,"50,000",7,"1,489,000",29.82,29.82,29.75,29.75,-,0.08,29.74,5,29.79,10,
00877,復華中國5G,"1,174,653",351,"15,229,029",13.01,13.10,12.86,12.98,-,0.08,12.97,8,12.98,191,
00883B,中信ESG投資級債,"403,680",74,"13,128,304",32.54,32.55,32.51,32.52,-,0.14,32.48,65,32.52,51,
00884B,中信低碳新興債,"331,500",13,"10,203,711",30.76,30.79,30.74,30.78,-,0.02,30.74,1,30.76,3,
00886,永豐美國科技,"38,274",19,"1,300,034",33.98,34.02,33.96,34.02,-,0.69,34.05,56,34.07,32,
00887,永豐中國科技50大,"9,445,582","1,500","82,050,148",8.69,8.77,8.64,8.67,-,0.02,8.67,353,8.68,202,
00888,永豐台灣ESG,"1,026,231",643,"16,248,026",15.90,15.90,15.81,15.83,-,0.26,15.83,68,15.84,9,
00890B,凱基ESG BBB債15+,"504,317",17,"17,237,805",34.27,34.27,34.18,34.18,-,0.15,34.18,1,34.21,7,
00928,中信上櫃ESG 30,"470,615",212,"7,440,362",15.87,15.87,15.76,15.77,-,0.23,15.76,8,15.77,4,
00931B,統一美債20年,"3,830,094",898,"56,189,842",14.69,14.69,14.65,14.66,-,0.05,14.65,65,14.66,510,
00933B,國泰10Y+金融債,"13,575,119","3,097","228,247,666",16.85,16.85,16.79,16.80,-,0.06,16.79,1720,16.80,317,
00937B,群益ESG投等債20+,"127,633,316","26,357","2,013,943,870",15.79,15.80,15.76,15.76,-,0.08,15.75,11571,15.76,1705,
00942B,台新美A公司債20+,"2,975,084",480,"45,241,987",15.24,15.24,15.18,15.20,-,0.07,15.19,8,15.20,460,
00948B,中信優息投資級債,"22,907,107","2,569","228,853,462",10.00,10.01,9.98,9.99,-,0.04,9.98,921,9.99,1606,
00950B,凱基A級公司債,"16,898,449","2,711","252,631,370",14.97,14.98,14.93,14.93,-,0.06,14.92,2820,14.93,272,
00955,中信日本商社,"3,040,890",695,"30,505,126",10.01,10.06,9.98,10.04,-,0.01,10.04,168,10.05,2,
00957B,兆豐US優選投等債,"1,173,470",242,"17,041,586",14.55,14.55,14.50,14.50,-,0.08,14.50,257,14.51,22,
00958B,永豐ESG銀行債15+,"1,174,472",144,"11,295,694",9.63,9.66,9.60,9.60,-,0.06,9.60,304,9.61,2,
00959B,大華投等美債15Y+,"7,999,699","1,000","79,152,108",9.91,9.91,9.88,9.90,-,0.02,9.89,14,9.90,1717,
00966B,統一ESG投等債15+,"4,974,640",515,"73,773,584",14.86,14.86,14.81,14.82,-,0.07,14.81,924,14.82,993,
00967B,元大優息美債,"2,486,087",156,"24,467,021",9.83,9.86,9.83,9.84,-,0.02,9.83,1053,9.84,650,
00968B,元大優息投等債,"7,441,296","1,120","72,755,627",9.80,9.80,9.76,9.77,-,0.04,9.76,1175,9.77,1856,
00969B,元大零息超長美債,"1,651,641",256,"15,110,145",9.16,9.18,9.13,9.13,-,0.06,9.13,194,9.14,1731,
00970B,新光BBB投等債20+,"12,897,553","1,534","128,769,227",9.99,10.00,9.97,9.98,-,0.05,9.97,421,9.98,195,
00980B,台新特選IG債10+,"1,912,338",152,"19,283,031",10.10,10.10,10.07,10.07,-,0.05,10.07,1547,10.08,1023,
00981B,第一金優選非投債,"1,295,097",249,"12,928,697",9.99,9.99,9.97,9.98,-,0.02,9.97,565,9.98,243,
020001,富邦存股雙十N,"1,000",1,"12,430",12.43,12.43,12.43,12.43,-,0.13,12.49,50,12.54,50,
02001B,統一美國政府債N,"11,000",3,"92,510",8.41,8.41,8.41,8.41,-,0.01,8.40,283,8.41,214,
020023,元大櫃買半導體N,"37,000",16,"203,460",5.50,5.51,5.49,5.49,-,0.12,5.49,400,5.50,400,
