證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
006201,元大富櫃50,"398,832",288,"16,663,642",41.76,41.97,41.40,41.95,+,0.11,41.95,2,41.96,1,
00679B,元大美債20年,"22,079,942","3,709","595,456,057",26.90,27.00,26.90,26.99,+,0.11,26.99,5273,27.00,1944,
00687B,國泰20年美債,"19,313,895","2,887","541,168,467",27.96,28.07,27.94,28.04,+,0.11,28.04,841,28.05,42,
00687C,國泰20年美債+櫃U,"26,500",5,"247,820",9.35,9.39,9.35,9.39,+,0.06,9.38,98,9.39,103,
00694B,富邦美債1-3,"573,799",59,"23,864,719",41.56,41.61,41.54,41.61,+,0.03,41.60,19,41.61,137,
00695B,富邦美債7-10,"121,996",27,"4,299,974",35.18,35.27,35.18,35.26,-,0.0,35.26,26,35.27,39,
00696B,富邦美債20年,"2,620,287",152,"76,214,613",29.01,29.12,29.01,29.09,+,0.08,29.09,301,29.10,3,
00697B,元大美債7-10,"480,390",150,"17,182,652",35.82,35.82,35.72,35.80,-,0.02,35.79,26,35.80,7,
00719B,元大美債1-3,"2,673,884",519,"82,674,731",30.93,30.95,30.89,30.91,-,0.02,30.90,100,30.91,22,
00720B,元大投資級公司債,"9,377,427","1,347","307,786,846",32.79,32.93,32.73,32.91,+,0.12,32.90,366,32.91,14,
00722B,群益投資級電信債,"6,108,467",316,"219,561,401",35.77,35.96,35.77,35.95,+,0.13,35.95,6,35.96,59,
00723B,群益投資級科技債,"105,124",8,"3,229,825",30.70,30.73,30.70,30.72,+,0.08,30.70,2,30.71,1,
00724B,群益投資級金融債,"3,907,171",208,"131,584,557",33.61,33.70,33.60,33.69,+,0.1,33.69,6,33.70,16,
00725B,國泰投資級公司債,"3,286,421",766,"114,757,904",34.81,34.96,34.81,34.96,+,0.11,34.95,156,34.96,148,
00726B,國泰新興投等債,"259,834",48,"8,541,561",32.80,32.89,32.80,32.88,+,0.04,32.87,5,32.88,5,
00727B,國泰優選非投等債,"113,025",12,"4,432,942",39.21,39.28,39.21,39.22,-,0.06,39.21,3,39.24,1,
