證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
006201,元大富櫃50,"140,813",139,"4,500,961",31.45,32.41,31.45,32.19,+,0.74,32.10,1,32.19,16,
00679B,元大美債20年,"20,857,282","4,218","571,840,659",27.39,27.48,27.35,27.43,+,0.09,27.42,104,27.43,86,
00687B,國泰20年美債,"23,598,487","2,860","678,974,364",28.76,28.83,28.72,28.78,+,0.1,28.77,19,28.78,330,
00687C,國泰20年美債+櫃U,"50,400",6,"473,258",9.39,9.40,9.39,9.39,-,0.0,9.37,109,9.40,2,
00694B,富邦美債1-3,"756,631",80,"32,031,501",42.20,42.38,42.20,42.37,+,0.17,42.36,23,42.37,6,
00695B,富邦美債7-10,"927,276",68,"33,489,466",35.99,36.16,35.99,36.16,+,0.14,36.13,20,36.15,49,
00696B,富邦美債20年,"3,787,995",298,"113,016,739",29.79,29.89,29.76,29.85,+,0.11,29.84,2,29.85,308,
00697B,元大美債7-10,"822,043",177,"30,141,617",36.61,36.74,36.61,36.73,+,0.16,36.72,4,36.73,47,
00719B,元大美債1-3,"3,106,745",824,"97,974,922",31.46,31.59,31.43,31.57,+,0.15,31.56,57,31.57,6,
00720B,元大投資級公司債,"8,552,954","1,528","282,968,458",33.05,33.16,33.02,33.11,+,0.05,33.10,38,33.11,15,
00722B,群益投資級電信債,"2,626,404",293,"95,481,758",36.26,36.38,36.24,36.35,+,0.06,36.32,1,36.35,105,
00723B,群益投資級科技債,"101,000",5,"3,140,100",31.08,31.10,31.08,31.10,+,0.13,31.02,53,31.06,20,
00724B,群益投資級金融債,"3,596,366",220,"122,330,779",33.95,34.04,33.90,34.01,+,0.06,34.00,6,34.01,11,
00725B,國泰投資級公司債,"4,790,938",795,"168,696,975",35.16,35.27,35.13,35.22,+,0.06,35.21,103,35.22,33,
00726B,國泰新興投等債,"192,068",102,"6,445,936",33.60,33.60,33.50,33.58,+,0.08,33.56,2,33.58,1,
00727B,國泰優選非投等債,"123,047",20,"4,937,037",40.22,40.22,40.10,40.11,+,0.11,40.08,28,40.10,5,
00734B,台新JPM新興債,"100,245",8,"1,595,978",15.92,15.92,15.92,15.92,-,0.03,15.91,1,15.92,3,
00740B,富邦全球投等債,"8,949,095",397,"347,216,167",38.60,38.85,38.60,38.81,+,0.07,38.80,22,38.81,95,
00741B,富邦全球非投等債,"242,523",52,"9,172,290",37.70,37.85,37.70,37.85,+,0.12,37.84,2,37.85,1,
00746B,富邦A級公司債,"515,774",52,"18,485,534",35.71,35.89,35.71,35.85,+,0.09,35.83,120,35.85,9,
00749B,凱基新興債10+,"101,000",5,"3,255,170",32.17,32.23,32.17,32.23,+,0.06,32.14,10,32.21,1,
00750B,凱基科技債10+,"102,000",3,"3,399,540",33.27,33.33,33.27,33.33,+,0.09,33.24,10,33.32,1,
00751B,元大AAA至A公司債,"5,834,769","1,260","186,661,184",31.96,32.05,31.94,32.00,+,0.04,31.99,33,32.00,21,
00754B,群益AAA-AA公司債,"100,000",4,"3,379,000",33.79,33.79,33.79,33.79,+,0.12,33.66,20,33.79,1,
00755B,群益投資級公用債,"102,760",79,"3,370,464",32.80,32.81,32.80,32.80,+,0.09,32.78,1,32.79,1,
00756B,群益投等新興公債,"217,507",107,"6,902,249",31.72,31.76,31.66,31.76,-,0.0,31.75,2,31.76,1,
00758B,復華能源債,"103,129",14,"5,295,764",51.35,51.40,51.35,51.35,+,0.1,51.10,25,51.35,9,
