證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
006201,元大富櫃50,"417,010",416,"20,538,651",49.13,49.40,48.66,49.28,+,1.78,49.27,1,49.28,2,
00679B,元大美債20年,"57,463,633","6,881","1,507,112,538",26.20,26.27,26.19,26.25,+,0.2,26.25,1746,26.26,664,
00687B,國泰20年美債,"24,440,969","4,061","672,497,685",27.48,27.55,27.48,27.52,+,0.14,27.52,1250,27.53,645,
00687C,國泰20年美債+櫃U,"51,000",5,"471,210",9.21,9.24,9.21,9.24,+,0.09,9.23,21,9.25,21,
00694B,富邦美債1-3,"978,792",70,"40,450,470",41.34,41.37,41.31,41.34,-,0.13,41.34,7,41.35,42,
00695B,富邦美債7-10,"52,605",36,"1,831,729",34.81,34.84,34.81,34.84,+,0.03,34.82,2,34.85,42,
00696B,富邦美債20年,"2,435,595",276,"69,599,842",28.60,28.60,28.54,28.57,+,0.16,28.57,320,28.58,218,
00697B,元大美債7-10,"270,157",231,"9,560,903",35.40,35.42,35.35,35.40,+,0.05,35.39,95,35.40,15,
00719B,元大美債1-3,"5,034,269","1,342","154,714,013",30.83,30.83,30.71,30.74,-,0.08,30.74,22,30.75,120,
00720B,元大投資級公司債,"11,066,114","1,768","362,639,820",32.76,32.88,32.70,32.77,+,0.13,32.76,250,32.77,37,
00722B,群益投資級電信債,"7,595,971",403,"271,470,844",35.65,35.85,35.65,35.74,+,0.16,35.74,36,35.75,52,
00723B,群益投資級科技債,"112,353",15,"3,439,228",30.59,30.61,30.57,30.61,+,0.17,30.57,17,30.60,1,
00724B,群益投資級金融債,"3,850,349",315,"128,999,250",33.40,33.52,33.40,33.48,+,0.1,33.48,95,33.49,1,
00725B,國泰投資級公司債,"6,417,067","1,095","223,576,685",34.82,34.88,34.77,34.83,+,0.12,34.83,76,34.84,50,
00726B,國泰新興投等債,"276,528",51,"8,956,439",32.49,32.49,32.35,32.39,-,0.0,32.37,2,32.39,16,
00727B,國泰優選非投等債,"129,867",23,"5,087,325",39.24,39.24,39.16,39.17,-,0.05,39.17,8,39.18,1,
00734B,台新JPM新興債,"7,208,000",482,"111,866,550",15.49,15.52,15.49,15.52,-,0.0,15.45,20,15.52,72,
00740B,富邦全球投等債,"1,592,523",305,"60,963,592",38.16,38.31,38.16,38.31,+,0.15,38.30,29,38.31,44,
00741B,富邦全球非投等債,"175,343",39,"6,492,148",37.16,37.16,37.02,37.02,-,0.14,37.01,18,37.02,3,
00746B,富邦A級公司債,"205,023",28,"7,216,077",34.76,35.23,34.76,35.21,+,0.12,35.20,131,35.21,1,
00749B,凱基新興債10+,"202,000",5,"6,306,260",31.13,31.22,31.13,31.22,+,0.11,31.12,10,31.17,2,
00750B,凱基科技債10+,"200,178",9,"6,582,394",32.88,32.88,32.88,32.88,+,0.21,32.78,10,32.85,2,
00751B,元大AAA至A公司債,"9,571,155","1,498","301,557,073",31.50,31.59,31.46,31.50,+,0.13,31.50,797,31.51,117,
00754B,群益AAA-AA公司債,"116,172",12,"3,853,373",33.15,33.19,33.11,33.14,+,0.14,33.00,4,33.19,2,
00755B,群益投資級公用債,"118,024",105,"3,820,210",32.36,32.39,32.36,32.39,+,0.12,32.38,1,32.44,20,
00756B,群益投等新興公債,"144,132",109,"4,426,452",30.69,30.78,30.69,30.72,+,0.08,30.71,12,30.73,1,
00758B,復華能源債,"100,069",7,"5,113,525",51.10,51.10,51.10,51.10,+,0.2,50.90,25,51.25,10,
00759B,復華製藥債,"100,000",2,"5,395,000",53.95,53.95,53.95,53.95,+,0.35,53.75,25,53.90,1,
00760B,復華新興企業債,"108,062",24,"5,705,664",52.80,52.80,52.75,52.75,-,0.0,52.75,5,52.80,1,
00761B,國泰A級公司債,"534,217",132,"18,208,137",34.05,34.11,34.05,34.09,+,0.15,34.06,107,34.09,4,
