證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
006201,元大富櫃50,"111,964",110,"2,529,692",22.57,22.68,22.54,22.58,+,0.03,22.52,1,22.66,15,
00679B,元大美債20年,"94,049,381","17,637","2,695,868,205",28.70,28.70,28.63,28.64,-,0.17,28.63,1924,28.64,147,
00687B,國泰20年美債,"23,804,759","7,935","709,110,810",29.84,29.84,29.77,29.79,-,0.16,29.78,276,29.79,1356,
00687C,國泰20年美債+櫃U,"51,900",6,"472,271",9.10,9.10,9.09,9.09,-,0.05,9.09,1,9.10,208,
00694B,富邦美債1-3,"70,029",31,"2,973,787",42.45,42.48,42.44,42.46,-,0.03,42.46,1,42.47,1,
00695B,富邦美債7-10,"229,602",27,"8,175,773",35.55,35.62,35.55,35.60,-,0.1,35.60,2,35.61,2,
00696B,富邦美債20年,"2,929,024",306,"90,095,750",30.81,30.81,30.74,30.76,-,0.18,30.75,6,30.76,72,
00697B,元大美債7-10,"606,068",267,"21,965,682",36.27,36.27,36.21,36.24,-,0.09,36.23,7,36.24,73,
00718B,富邦中國政策債,"124,372",22,"2,573,725",20.70,20.70,20.66,20.67,,,20.65,20,20.68,1,
00719B,元大美債1-3,"3,727,524","1,278","119,705,941",32.15,32.16,32.10,32.12,-,0.03,32.11,42,32.12,352,
00720B,元大投資級公司債,"4,474,452","1,627","156,609,202",35.05,35.05,34.98,35.00,-,0.11,34.99,68,35.00,20,
00722B,群益投資級電信債,"2,880,412",348,"110,100,087",38.32,38.32,38.21,38.22,-,0.14,38.21,110,38.22,15,
00723B,群益投資級科技債,"101,000",5,"3,369,360",33.36,33.36,33.36,33.36,-,0.05,33.34,1,33.37,55,
00724B,群益投資級金融債,"7,069,832",308,"247,839,994",35.10,35.10,35.04,35.04,-,0.08,35.04,109,35.08,188,
00725B,國泰投資級公司債,"4,826,485","1,482","179,770,210",37.27,37.28,37.23,37.24,-,0.07,37.24,62,37.25,172,
00726B,國泰新興投等債,"137,065",56,"4,655,592",33.93,33.98,33.92,33.96,+,0.01,33.94,31,33.96,1,
00727B,國泰優選非投等債,"157,957",18,"6,557,375",41.47,41.52,41.47,41.52,-,0.02,41.49,21,41.51,1,
00734B,台新JPM新興債,"3,006",2,"47,073",15.66,15.66,15.66,15.66,+,0.01,15.60,30,15.62,1,
00740B,富邦全球投等債,"4,201,803",398,"169,688,730",40.44,40.44,40.37,40.37,,,40.37,496,40.38,203,
00741B,富邦全球非投等債,"578,100",131,"22,948,235",39.72,39.72,39.64,39.70,,,39.70,2,39.74,61,
00746B,富邦A級公司債,"916,152",93,"33,695,212",36.85,36.85,36.76,36.76,-,0.1,36.77,125,36.78,9,
00749B,凱基新興債10+,"134,344",10,"4,236,152",31.59,31.59,31.52,31.52,-,0.07,31.48,21,31.51,1,
00750B,凱基科技債10+,"100,000",4,"3,522,000",35.22,35.22,35.22,35.22,-,0.07,35.16,12,35.20,1,
00751B,元大AAA至A公司債,"5,454,748","1,654","184,263,326",33.86,33.86,33.76,33.77,-,0.13,33.76,273,33.77,19,
00754B,群益AAA-AA公司債,"142,412",29,"5,095,905",35.79,35.81,35.78,35.78,-,0.13,35.77,20,35.78,1,
00755B,群益投資級公用債,"194,658",95,"6,636,984",34.15,34.15,34.07,34.11,-,0.14,34.08,2,34.10,1,
00756B,群益投等新興公債,"323,210",139,"10,376,313",32.16,32.16,32.07,32.08,-,0.09,32.09,6,32.10,25,
00758B,復華能源債,"102,019",8,"5,361,197",52.65,52.65,52.55,52.55,,,52.55,2,52.60,17,
00759B,復華製藥債,"108,108",15,"6,103,192",56.50,56.50,56.45,56.45,,,56.40,1,56.45,1,
00760B,復華新興企業債,"198,170",69,"10,900,698",55.55,55.55,54.90,54.90,,,54.90,16,54.95,1,
00761B,國泰A級公司債,"1,875,797",383,"68,721,465",36.70,36.70,36.60,36.62,-,0.12,36.61,20,36.62,216,
00764B,群益25年美債,"6,405,044",538,"191,498,045",29.90,29.93,29.88,29.90,-,0.18,29.89,11,29.90,207,
00768B,復華20年美債,"534,452",48,"29,250,933",54.75,54.80,54.70,54.80,-,0.45,54.75,103,54.80,32,
00772B,中信高評級公司債,"2,405,657",801,"84,599,819",35.22,35.22,35.15,35.17,-,0.12,35.16,58,35.17,12,
00773B,中信優先金融債,"2,315,712",280,"85,758,266",37.07,37.07,37.01,37.04,-,0.13,37.02,19,37.04,12,
00777B,凱基AAA至A公司債,"100,030",4,"3,452,038",34.51,34.51,34.51,34.51,-,0.13,34.47,2,34.50,1,
00778B,凱基金融債20+,"110,050",7,"3,981,707",36.19,36.19,36.18,36.18,-,0.14,36.10,10,36.16,1,
00779B,凱基美債25+,"749,890",38,"22,564,661",30.15,30.15,30.07,30.09,-,0.19,30.08,104,30.09,108,
00780B,國泰A級金融債,"107,140",12,"4,113,113",38.40,38.41,38.38,38.41,-,0.06,38.38,1,38.39,1,
00781B,國泰A級科技債,"132,707",22,"4,184,038",31.53,31.54,31.52,31.54,-,0.1,31.52,1,31.54,1,
00782B,國泰A級公用債,"113,693",12,"3,673,817",32.25,32.32,32.25,32.32,-,0.1,32.32,1,32.33,11,
00784B,富邦中國投等債,"100,000",2,"3,926,000",39.26,39.26,39.26,39.26,-,0.04,39.24,20,39.27,15,
00785B,富邦金融投等債,"100,121",7,"3,616,407",36.12,36.12,36.12,36.12,-,0.1,36.12,1,36.17,1,
00786B,元大10年IG銀行債,"19,488",25,"666,955",34.26,34.26,34.21,34.21,-,0.08,34.21,40,34.22,1,
00787B,元大10年IG醫療債,"3,421",17,"116,838",34.16,34.16,34.11,34.16,-,0.12,34.13,2,34.14,1,
00788B,元大10年IG電能債,"36,000",12,"1,126,640",31.36,31.36,31.28,31.29,-,0.12,31.29,5,31.30,1,
00789B,復華公司債A3,"171,041",14,"8,752,238",51.15,51.25,51.15,51.15,-,0.15,51.05,19,51.20,1,
00790B,復華次順位金融債,"100,020",5,"5,631,126",56.30,56.30,56.30,56.30,-,0.35,56.05,1,56.50,18,
00791B,復華信用債1-5,"100,000",4,"5,805,000",58.05,58.05,58.05,58.05,-,0.1,57.85,14,58.30,11,
00792B,群益A級公司債,"106,195",12,"3,550,022",33.44,33.45,33.39,33.42,-,0.13,33.40,1,33.42,1,
00793B,群益AAA-A醫療債,"110,620",14,"3,586,473",32.42,32.42,32.42,32.42,-,0.11,32.42,2,32.44,20,
00794B,群益7+中國政金債,"104,000",6,"4,447,190",42.72,42.80,42.72,42.80,-,0.13,42.53,8,42.80,7,
00795B,中信美國公債20年,"10,877,734","3,150","312,764,488",28.80,28.82,28.73,28.75,-,0.18,28.74,65,28.75,608,
00799B,國泰A級醫療債,"413,185",121,"13,459,415",32.68,32.69,32.52,32.56,-,0.16,32.55,7,32.56,3,
00834B,第一金金融債10+,"100,000",2,"3,522,000",35.22,35.22,35.22,35.22,-,0.09,35.15,30,35.18,1,
00836B,永豐10年A公司債,"102,835",13,"3,126,578",30.41,30.41,30.39,30.39,-,0.11,30.39,1,30.40,20,
00840B,凱基IG精選15+,"100,000",4,"3,159,000",31.59,31.59,31.59,31.59,-,0.11,31.51,13,31.58,1,
00841B,凱基AAA-AA公司債,"103,000",7,"3,197,170",31.06,31.07,31.04,31.04,-,0.13,31.04,1,31.05,1,
00842B,台新美元銀行債,"5,050",4,"167,130",33.09,33.11,33.09,33.09,-,0.19,33.13,1,33.14,22,
00844B,新光15年IG金融債,"71,038",38,"2,353,229",33.11,33.17,33.11,33.15,-,0.08,33.12,18,33.16,1,
00845B,富邦新興投等債,"101,030",4,"3,401,611",33.60,33.67,33.60,33.67,,,33.62,20,33.65,1,
00846B,富邦歐洲銀行債,"101,082",23,"3,686,474",36.50,36.50,36.47,36.47,,,36.47,1,36.51,20,
00847B,中信美國市政債,"304,044",11,"8,283,160",27.24,27.25,27.24,27.24,-,0.13,27.22,21,27.25,10,
00848B,中信新興亞洲債,"391,000",18,"13,794,130",35.30,35.30,35.26,35.27,-,0.07,35.25,5,35.27,3,
00849B,中信EM主權債0-5,"313,064",12,"11,953,585",38.14,38.20,38.14,38.18,-,0.03,38.15,47,38.17,3,
00853B,統一美債10年Aa-A,"819,818",82,"23,848,430",29.07,29.10,29.06,29.10,-,0.08,29.08,87,29.09,8,
00856B,永豐1-3年美公債,"4,735",19,"187,138",39.34,39.35,39.34,39.34,-,0.05,39.34,36,39.41,10,
00857B,永豐20年美公債,"1,546,331",557,"38,354,682",24.85,24.85,24.79,24.80,-,0.15,24.79,254,24.80,106,
00858,永豐美國500大,"1,510,071",904,"50,315,376",33.44,33.44,33.28,33.29,-,0.01,33.29,13,33.30,52,
00859B,群益0-1年美債,"107,932",13,"4,671,278",43.30,43.30,43.25,43.29,-,0.03,43.29,1,43.31,15,
00860B,群益1-5Y投資級債,"117,547",12,"4,616,107",39.29,39.29,39.26,39.28,-,0.02,39.28,2,39.30,40,
00862B,中信投資級公司債,"420,764",109,"14,061,373",33.43,33.43,33.40,33.43,-,0.06,33.40,55,33.41,4,
