證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
006201,元大富櫃50,"213,764",313,"9,352,097",44.40,44.50,43.13,43.13,-,1.37,43.07,6,43.13,1,
00679B,元大美債20年,"30,320,059","9,468","782,096,650",25.82,25.83,25.77,25.80,-,0.27,25.79,124,25.80,1259,
00687B,國泰20年美債,"23,376,274","5,442","627,362,099",26.86,26.87,26.81,26.83,-,0.29,26.82,138,26.83,22,
00687C,國泰20年美債+櫃U,"25,000",2,"224,750",8.99,8.99,8.99,8.99,-,0.07,8.96,25,8.98,23,
00694B,富邦美債1-3,"88,083",33,"3,692,630",41.93,41.94,41.86,41.92,-,0.07,41.92,18,41.94,38,
00695B,富邦美債7-10,"152,337",50,"5,304,554",35.00,35.00,34.80,34.83,-,0.27,34.83,1,34.84,35,
00696B,富邦美債20年,"2,691,340",299,"74,747,973",27.84,27.84,27.72,27.77,-,0.31,27.76,1,27.77,309,
00697B,元大美債7-10,"640,920",238,"22,667,922",35.49,35.49,35.31,35.38,-,0.16,35.37,6,35.38,209,
00719B,元大美債1-3,"2,057,688",769,"64,128,447",31.20,31.20,31.12,31.20,-,0.05,31.20,49,31.21,238,
00720B,元大投資級公司債,"8,037,878","3,046","253,618,598",31.70,31.72,31.51,31.54,-,0.34,31.53,113,31.54,307,
00722B,群益投資級電信債,"3,872,473",847,"130,929,809",33.95,33.95,33.77,33.80,-,0.34,33.79,44,33.80,59,
00723B,群益投資級科技債,"125,291",34,"3,642,723",29.11,29.11,29.05,29.08,-,0.31,29.05,53,29.06,1,
00724B,群益投資級金融債,"2,057,494",379,"67,187,000",32.72,32.72,32.62,32.63,-,0.27,32.63,8,32.64,64,
00725B,國泰投資級公司債,"3,556,596","1,978","119,919,541",33.85,33.87,33.67,33.68,-,0.35,33.68,41,33.69,212,
00726B,國泰新興投等債,"279,837",92,"9,038,405",32.40,32.43,32.26,32.36,-,0.07,32.35,2,32.36,50,
00727B,國泰優選非投等債,"554,536",28,"21,805,751",39.26,39.35,39.26,39.35,-,0.02,39.26,11,39.30,5,
00734B,台新JPM新興債,"4,000",1,"61,560",15.39,15.39,15.39,15.39,-,0.21,15.42,1,15.44,4,
00740B,富邦全球投等債,"2,448,664",469,"90,617,873",37.21,37.21,36.98,36.99,,,36.98,28,36.99,19,
00741B,富邦全球非投等債,"138,859",30,"5,169,596",37.42,37.42,37.18,37.22,,,37.22,1,37.41,1,
00746B,富邦A級公司債,"925,145",91,"31,675,469",34.24,34.27,34.21,34.23,-,0.32,34.23,8,34.24,108,
00749B,凱基新興債10+,"266,000",73,"8,181,740",30.58,30.87,30.58,30.66,-,0.39,30.66,8,30.77,1,
00750B,凱基科技債10+,"157,092",17,"4,937,040",31.47,31.56,31.40,31.41,-,0.43,31.45,1,31.55,8,
00751B,元大AAA至A公司債,"9,348,137","2,969","281,359,792",30.21,30.21,30.07,30.09,-,0.32,30.08,128,30.09,244,
00754B,群益AAA-AA公司債,"135,417",36,"4,215,504",31.13,31.17,31.08,31.08,,,31.08,3,31.10,1,
00755B,群益投資級公用債,"119,144",81,"3,719,784",31.24,31.24,31.17,31.23,,,31.21,1,31.25,50,
00756B,群益投等新興公債,"537,562",273,"16,372,557",30.99,30.99,30.31,30.31,,,30.30,2,30.31,18,
00758B,復華能源債,"103,179",9,"5,159,447",50.00,50.20,50.00,50.10,-,0.45,49.83,25,50.15,30,
00759B,復華製藥債,"102,250",14,"5,388,716",52.70,52.70,52.70,52.70,-,0.6,52.70,2,52.75,1,
00760B,復華新興企業債,"119,323",23,"6,342,460",53.00,53.20,53.00,53.20,-,0.15,53.15,2,53.20,1,
00761B,國泰A級公司債,"287,725",184,"9,424,939",32.80,33.12,32.71,32.73,,,32.73,11,32.75,1,
