證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2618,長榮航          ,"77,372,730","19,353,161","58,019,569",0,0,0,"351,376","3,243,974","-2,892,598","109,321","207,855","523,506","-315,651","1,216,872","791,900","424,972","55,236,292"
2891,中信金          ,"69,657,117","28,635,793","41,021,324",0,0,0,"275,551","204,646","70,905","-15,362,980","600,000","16,694,253","-16,094,253","1,344,580","613,307","731,273","25,729,249"
4958,臻鼎-KY         ,"31,709,683","10,664,933","21,044,750",0,0,0,"4,232,276","225,000","4,007,276","442,604","498,110","452,360","45,750","2,640,308","2,243,454","396,854","25,494,630"
2610,華航            ,"28,984,799","7,556,541","21,428,258",0,0,0,"394,000","21,876","372,124","1,450,284","304,000","69,000","235,000","1,499,000","283,716","1,215,284","23,250,666"
2332,友訊            ,"47,242,201","24,815,727","22,426,474",0,0,0,0,0,0,"-854,960","936,000","1,271,026","-335,026","127,167","647,101","-519,934","21,571,514"
2634,漢翔            ,"18,188,100","2,759,629","15,428,471",0,0,0,0,0,0,"927,562","329,666","112,000","217,666","775,426","65,530","709,896","16,356,033"
00712,復華富時不動產  ,"13,250,000","245,000","13,005,000",0,0,0,0,0,0,"1,798,137",0,0,0,"2,497,999","699,862","1,798,137","14,803,137"
009824,群益美國科技巨頭,"3,656,000","163,000","3,493,000",0,0,0,0,0,0,"9,729,819",0,0,0,"17,811,589","8,081,770","9,729,819","13,222,819"
5876,上海商銀        ,"22,342,936","10,044,728","12,298,208",0,0,0,"343,000","351,000","-8,000","716,649","452,649","3,000","449,649","287,000","20,000","267,000","13,006,857"
2886,兆豐金          ,"13,407,430","10,176,344","3,231,086",0,0,0,"8,676,709","15,642","8,661,067","688,416","264,000","202,725","61,275","678,141","51,000","627,141","12,580,569"
2313,華通            ,"26,717,592","18,877,234","7,840,358",0,0,0,"3,352,000","2,000","3,350,000","1,203,158","936,312","397,000","539,312","1,331,460","667,614","663,846","12,393,516"
009820,元大納斯達克精選,"498,000","177,000","321,000",0,0,0,0,0,0,"10,543,926",0,0,0,"12,431,926","1,888,000","10,543,926","10,864,926"
6505,台塑化          ,"17,835,933","8,949,250","8,886,683",0,0,0,"889,148",0,"889,148","925,612","301,934","38,294","263,640","792,284","130,312","661,972","10,701,443"
5880,合庫金          ,"15,130,422","5,009,192","10,121,230",0,0,0,"211,720","14,909","196,811","328,018","296,267","10,000","286,267","72,751","31,000","41,751","10,646,059"
3045,台灣大          ,"13,971,545","4,247,812","9,723,733",0,0,0,"716,758","157,000","559,758","299,131","295,000","240,353","54,647","303,484","59,000","244,484","10,582,622"
1301,台塑            ,"16,591,000","8,459,572","8,131,428",0,0,0,0,0,0,"841,566","437,091","178,000","259,091","754,275","171,800","582,475","8,972,994"
2347,聯強            ,"15,874,068","4,402,000","11,472,068",0,0,0,"195,000","189,000","6,000","-3,648,654","172,863","6,097,753","-5,924,890","2,289,159","12,923","2,276,236","7,829,414"
3033,威健            ,"13,222,000","5,616,000","7,606,000",0,0,0,0,0,0,"-194,137","55,021","277,182","-222,161","307,039","279,015","28,024","7,411,863"
4904,遠傳            ,"9,827,635","8,886,828","940,807",0,0,0,"7,278,987","1,170,000","6,108,987","16,372","135,000","33,570","101,430","177,862","262,920","-85,058","7,066,166"
00918,大華優利高填息30,"2,007,264","468,500","1,538,764",0,0,0,0,0,0,"5,443,412",0,0,0,"8,481,215","3,037,803","5,443,412","6,982,176"
2377,微星            ,"16,262,737","9,925,277","6,337,460",0,0,0,"8,000","2,000","6,000","621,383","359,925","109,294","250,631","546,834","176,082","370,752","6,964,843"
1709,和益            ,"7,569,473","1,045,242","6,524,231",0,0,0,0,0,0,"80,036","80,000","3,000","77,000","37,611","34,575","3,036","6,604,267"
3704,合勤控          ,"7,893,000","1,425,650","6,467,350",0,0,0,0,0,0,"105,217","117,711","7,494","110,217",0,"5,000","-5,000","6,572,567"
2359,所羅門          ,"7,670,447","1,616,270","6,054,177",0,0,0,0,0,0,"116,141","28,000","6,000","22,000","346,470","252,329","94,141","6,170,318"
1216,統一            ,"11,282,829","5,960,933","5,321,896",0,0,0,"117,556",0,"117,556","444,975","152,000","100,000","52,000","401,975","9,000","392,975","5,884,427"
00665L,富邦恒生國企正2 ,"1,764,000","1,429,000","335,000",0,0,0,0,0,0,"5,411,617",0,0,0,"14,614,907","9,203,290","5,411,617","5,746,617"
3576,聯合再生        ,"10,741,405","5,126,000","5,615,405",0,0,0,0,0,0,"18,000","24,000","6,000","18,000",0,0,0,"5,633,405"
2301,光寶科          ,"18,489,251","12,880,971","5,608,280",0,0,0,"108,659","405,000","-296,341","233,495","112,255","123,000","-10,745","556,900","312,660","244,240","5,545,434"
00402A,主動安聯美國科技,"5,000","7,000","-2,000",0,0,0,0,0,0,"5,504,601",0,0,0,"6,667,926","1,163,325","5,504,601","5,502,601"
2845,遠東銀          ,"7,246,766","1,905,000","5,341,766",0,0,0,0,0,0,"108,000","139,000","14,000","125,000",0,"17,000","-17,000","5,449,766"
1326,台化            ,"29,878,020","25,125,517","4,752,503",0,0,0,"6,000",0,"6,000","652,417","701,000","476,567","224,433","880,402","452,418","427,984","5,410,920"
2883,凱基金          ,"22,708,611","18,657,279","4,051,332",0,0,0,"135,172","19,220","115,952","1,157,899","696,802","248,986","447,816","844,065","133,982","710,083","5,325,183"
074790,台化元大61購05  ,0,0,0,0,0,0,0,0,0,"4,999,000",0,0,0,"4,999,000",0,"4,999,000","4,999,000"
2890,永豐金          ,"25,395,472","20,592,714","4,802,758",0,0,0,"238,463","273,892","-35,429","193,389","361,000","246,865","114,135","118,411","39,157","79,254","4,960,718"
2880,華南金          ,"12,050,029","9,549,486","2,500,543",0,0,0,"1,761,221",0,"1,761,221","660,226","246,160","200,179","45,981","640,349","26,104","614,245","4,921,990"
2105,正新            ,"7,009,066","2,315,000","4,694,066",0,0,0,"76,000","267,539","-191,539","376,387","78,000","54,000","24,000","374,895","22,508","352,387","4,878,914"
2371,大同            ,"6,839,025","2,254,450","4,584,575",0,0,0,"10,000",0,"10,000","147,425","52,000",0,"52,000","113,425","18,000","95,425","4,742,000"
073135,康舒元大5C購07  ,0,0,0,0,0,0,0,0,0,"4,622,000",0,0,0,"4,622,000",0,"4,622,000","4,622,000"
057509,華通統一65購03  ,0,0,0,0,0,0,0,0,0,"4,575,000",0,0,0,"4,589,000","14,000","4,575,000","4,575,000"
070085,京元電元大61購09,0,0,0,0,0,0,0,0,0,"4,540,000",0,0,0,"4,820,000","280,000","4,540,000","4,540,000"
073113,微星元大5C購05  ,0,0,0,0,0,0,0,0,0,"4,527,000",0,0,0,"4,752,000","225,000","4,527,000","4,527,000"
3016,嘉晶            ,"6,684,814","2,207,452","4,477,362",0,0,0,0,0,0,"-30,722","18,000","58,000","-40,000","140,448","131,170","9,278","4,446,640"
070089,晶豪科元大61購02,0,0,0,0,0,0,0,0,0,"4,398,000",0,0,0,"4,447,000","49,000","4,398,000","4,398,000"
074676,直得元大61購01  ,0,0,0,0,0,0,0,0,0,"4,259,000",0,0,0,"4,274,000","15,000","4,259,000","4,259,000"
1303,南亞            ,"16,849,095","23,549,067","-6,699,972",0,0,0,"9,372,000",0,"9,372,000","1,508,953","1,128,000","105,000","1,023,000","1,365,922","879,969","485,953","4,180,981"
073127,晶技元大5C購04  ,0,0,0,0,0,0,0,0,0,"4,104,000",0,0,0,"4,357,000","253,000","4,104,000","4,104,000"
061862,華通元富63購01  ,0,0,0,0,0,0,0,0,0,"4,085,000",0,0,0,"4,502,000","417,000","4,085,000","4,085,000"
00940,元大台灣價值高息,"619,367","669,000","-49,633",0,0,0,0,0,0,"4,127,407",0,"10,000","-10,000","6,240,192","2,102,785","4,137,407","4,077,774"
071678,緯穎台新5C購10  ,0,0,0,0,0,0,0,0,0,"4,031,000",0,0,0,"4,031,000",0,"4,031,000","4,031,000"
073523,順德元大5C購03  ,"27,000",0,"27,000",0,0,0,0,0,0,"3,840,000",0,0,0,"3,996,000","156,000","3,840,000","3,867,000"
071252,華通元大61購14  ,0,0,0,0,0,0,0,0,0,"3,835,000",0,0,0,"4,347,000","512,000","3,835,000","3,835,000"
071679,緯穎台新5C購11  ,0,0,0,0,0,0,0,0,0,"3,796,000",0,0,0,"4,051,000","255,000","3,796,000","3,796,000"
2892,第一金          ,"14,279,936","10,766,783","3,513,153",0,0,0,"227,346","7,000","220,346","20,694","255,000","293,068","-38,068","94,762","36,000","58,762","3,754,193"
067202,臻鼎兆豐65購01  ,0,0,0,0,0,0,0,0,0,"3,557,000",0,0,0,"3,557,000",0,"3,557,000","3,557,000"
2882,國泰金          ,"16,097,490","11,040,174","5,057,316",0,0,0,"450,845","2,297,637","-1,846,792","185,352","276,000","146,081","129,919","144,842","89,409","55,433","3,395,876"
070771,奇鋐元大61購23  ,0,0,0,0,0,0,0,0,0,"3,322,000",0,0,0,"3,361,000","39,000","3,322,000","3,322,000"
009819,中信數據及電力  ,"3,069,000","1,010","3,067,990",0,0,0,0,0,0,"245,679","2,000",0,"2,000","2,042,000","1,798,321","243,679","3,313,669"
2603,長榮            ,"6,473,940","2,028,694","4,445,246",0,0,0,"48,980","1,106,431","-1,057,451","-178,295","38,000","2,000","36,000","141,400","355,695","-214,295","3,209,500"
2312,金寶            ,"9,910,209","6,784,388","3,125,821",0,0,0,0,0,0,"82,951","315,000","224,000","91,000","321,835","329,884","-8,049","3,208,772"
2357,華碩            ,"4,653,360","1,483,255","3,170,105",0,0,0,"44,395","155,000","-110,605","135,434","79,000","31,000","48,000","145,220","57,786","87,434","3,194,934"
074412,凌陽元大61購01  ,0,0,0,0,0,0,0,0,0,"3,036,000",0,0,0,"3,040,000","4,000","3,036,000","3,036,000"
065951,保瑞元大5B購02  ,0,0,0,0,0,0,0,0,0,"3,014,000",0,0,0,"3,020,000","6,000","3,014,000","3,014,000"
00999A,主動野村臺灣高息,"818,000","844,000","-26,000",0,0,0,0,0,0,"3,019,010",0,0,0,"3,873,000","853,990","3,019,010","2,993,010"
072938,南茂元大5C購09  ,0,0,0,0,0,0,0,0,0,"2,982,000",0,0,0,"3,092,000","110,000","2,982,000","2,982,000"
073255,玉晶光元大5C購06,0,0,0,0,0,0,0,0,0,"2,935,000",0,0,0,"2,943,000","8,000","2,935,000","2,935,000"
2351,順德            ,"3,485,050","1,532,300","1,952,750",0,0,0,"802,000",0,"802,000","102,476","63,000","2,143","60,857","100,068","58,449","41,619","2,857,226"
067661,智原凱基5B購08  ,0,0,0,0,0,0,0,0,0,"2,839,000",0,0,0,"2,911,000","72,000","2,839,000","2,839,000"
2867,三商壽          ,"7,834,065","5,434,000","2,400,065",0,0,0,0,0,0,"397,000","500,000","103,000","397,000",0,0,0,"2,797,065"
00673R,期元大S&P原油反1,"21,000","47,000","-26,000",0,0,0,0,0,0,"2,760,021",0,0,0,"4,406,432","1,646,411","2,760,021","2,734,021"
2382,廣達            ,"6,386,098","5,906,676","479,422",0,0,0,"2,094,130","40,000","2,054,130","185,318","222,049","71,000","151,049","266,269","232,000","34,269","2,718,870"
069578,力積電群益62購01,0,0,0,0,0,0,0,0,0,"2,718,000",0,0,0,"2,718,000",0,"2,718,000","2,718,000"
067740,昇陽半元大5B購08,0,0,0,0,0,0,0,0,0,"2,674,000",0,0,0,"2,776,000","102,000","2,674,000","2,674,000"
069379,台積電元大61購40,0,0,0,0,0,0,0,0,0,"2,669,000",0,0,0,"3,176,000","507,000","2,669,000","2,669,000"
2881,富邦金          ,"18,658,211","14,730,099","3,928,112",0,0,0,"142,426","1,583,418","-1,440,992","171,120","269,000","2,000","267,000","68,583","164,463","-95,880","2,658,240"
059689,日本反元大65購01,0,0,0,0,0,0,0,0,0,"2,637,000",0,0,0,"2,667,000","30,000","2,637,000","2,637,000"
072924,友達元大5C購14  ,0,0,0,0,0,0,0,0,0,"2,618,000",0,0,0,"2,645,000","27,000","2,618,000","2,618,000"
2637,慧洋-KY         ,"3,899,239","2,219,910","1,679,329",0,0,0,"758,000","1,000","757,000","85,833","56,294","8,316","47,978","42,268","4,413","37,855","2,522,162"
069904,技嘉元大5C購03  ,0,0,0,0,0,0,0,0,0,"2,500,000",0,0,0,"2,503,000","3,000","2,500,000","2,500,000"
074212,友達元大61購19  ,0,0,0,0,0,0,0,0,0,"2,447,000",0,0,0,"2,448,000","1,000","2,447,000","2,447,000"
056311,定穎控元大61購04,0,0,0,0,0,0,0,0,0,"2,445,000",0,0,0,"2,505,000","60,000","2,445,000","2,445,000"
2884,玉山金          ,"22,005,657","20,945,957","1,059,700",0,0,0,"534,458","14,221","520,237","820,183","295,000","75,170","219,830","833,628","233,275","600,353","2,400,120"
00650L,復華香港正2     ,"1,145,000","738,000","407,000",0,0,0,0,0,0,"1,976,700",0,0,0,"4,249,405","2,272,705","1,976,700","2,383,700"
2208,台船            ,"7,090,026","4,914,589","2,175,437",0,0,0,0,0,0,"167,007","167,007",0,"167,007",0,0,0,"2,342,444"
064951,鉅祥元大5A購03  ,0,0,0,0,0,0,0,0,0,"2,339,000",0,0,0,"2,789,000","450,000","2,339,000","2,339,000"
1718,中纖            ,"2,799,000","609,000","2,190,000",0,0,0,0,0,0,"15,000","41,000","10,000","31,000",0,"16,000","-16,000","2,205,000"
072306,奇鋐國泰61購02  ,0,0,0,0,0,0,0,0,0,"2,198,000",0,0,0,"2,252,000","54,000","2,198,000","2,198,000"
2836,高雄銀          ,"2,905,093","747,000","2,158,093",0,0,0,0,0,0,"12,000","45,000","33,000","12,000",0,0,0,"2,170,093"
072082,聯茂國票61購03  ,0,0,0,0,0,0,0,0,0,"2,131,000",0,0,0,"2,236,000","105,000","2,131,000","2,131,000"
057945,美時凱基59購02  ,0,0,0,0,0,0,0,0,0,"2,107,000",0,0,0,"2,224,000","117,000","2,107,000","2,107,000"
074797,鉅祥元大64購01  ,0,0,0,0,0,0,0,0,0,"2,096,000",0,0,0,"2,096,000",0,"2,096,000","2,096,000"
062590,聯成國票5B購01  ,0,0,0,0,0,0,0,0,0,"2,092,000",0,0,0,"2,490,000","398,000","2,092,000","2,092,000"
03410T,台灣50中信65售04,0,0,0,0,0,0,0,0,0,"2,077,000",0,0,0,"2,096,000","19,000","2,077,000","2,077,000"
067495,威健凱基5B購03  ,0,0,0,0,0,0,0,0,0,"2,072,000",0,0,0,"2,681,000","609,000","2,072,000","2,072,000"
03605T,T50正2中信66售05,0,0,0,0,0,0,0,0,0,"2,042,000",0,0,0,"2,046,000","4,000","2,042,000","2,042,000"
9921,巨大            ,"2,482,215","504,188","1,978,027",0,0,0,0,0,0,"30,585","16,655","4,171","12,484","18,996",895,"18,101","2,008,612"
069135,嘉澤元大63購03  ,0,0,0,0,0,0,0,0,0,"2,008,000",0,0,0,"2,495,000","487,000","2,008,000","2,008,000"
064494,技嘉國票5A購01  ,0,0,0,0,0,0,0,0,0,"1,996,000",0,0,0,"1,996,000",0,"1,996,000","1,996,000"
073925,興勤元大61購01  ,0,0,0,0,0,0,0,0,0,"1,985,000",0,0,0,"1,996,000","11,000","1,985,000","1,985,000"
060281,美時國票59購04  ,0,0,0,0,0,0,0,0,0,"1,980,000",0,0,0,"2,040,000","60,000","1,980,000","1,980,000"
