證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00403A,主動統一升級50  ,"177,824,096","26,524,902","151,299,194",0,0,0,0,0,0,"280,548,473",0,0,0,"283,205,944","2,657,471","280,548,473","431,847,667"
2408,南亞科          ,"75,535,016","28,598,345","46,936,671",0,0,0,"5,829,011","21,236","5,807,775","95,412","721,637","858,000","-136,363","1,553,746","1,321,971","231,775","52,839,858"
00992A,主動群益科技創新,"50,066,000","11,488,675","38,577,325",0,0,0,0,0,0,"9,827,299",0,0,0,"23,515,632","13,688,333","9,827,299","48,404,624"
2344,華邦電          ,"131,321,694","96,216,887","35,104,807",0,0,0,"9,940,571","512,049","9,428,522","-1,269,998","1,291,421","717,000","574,421","1,100,992","2,945,411","-1,844,419","43,263,331"
2303,聯電            ,"116,077,443","87,079,679","28,997,764",0,0,0,"12,471,716","1,123,572","11,348,144","796,481","2,969,258","528,000","2,441,258","561,268","2,206,045","-1,644,777","41,142,389"
00631L,元大台灣50正2   ,"27,156,578","19,401,865","7,754,713",0,0,0,0,0,0,"30,185,829","1,107,000",0,"1,107,000","55,085,236","26,006,407","29,078,829","37,940,542"
2884,玉山金          ,"48,769,179","16,247,817","32,521,362",0,0,0,"727,754","26,223","701,531","279,689","90,000","56,000","34,000","359,689","114,000","245,689","33,502,582"
5880,合庫金          ,"32,977,285","2,882,416","30,094,869",0,0,0,"992,394","2,197","990,197","207,449",299,0,299,"226,150","19,000","207,150","31,292,515"
2883,凱基金          ,"69,956,863","51,133,024","18,823,839",0,0,0,"11,069,986","3,025,312","8,044,674","1,455,444","71,292","10,904","60,388","2,326,308","931,252","1,395,056","28,323,957"
2887,台新新光金      ,"61,028,053","40,253,732","20,774,321",0,0,0,"9,281,000","1,749,828","7,531,172","-1,011,396","75,000","63,000","12,000","1,598,604","2,622,000","-1,023,396","27,294,097"
00402A,主動安聯美國科技,"81,000","83,000","-2,000",0,0,0,0,0,0,"24,954,250",0,0,0,"26,526,000","1,571,750","24,954,250","24,952,250"
2892,第一金          ,"25,368,812","19,811,296","5,557,516",0,0,0,"18,828,000","2,279","18,825,721","200,814","30,000",0,"30,000","172,814","2,000","170,814","24,584,051"
1402,遠東新          ,"20,818,153","12,702,500","8,115,653",0,0,0,"13,429,000",0,"13,429,000","277,896","242,000","14,000","228,000","192,416","142,520","49,896","21,822,549"
009816,凱基台灣TOP50   ,"31,971,194","8,595,000","23,376,194",0,0,0,0,0,0,"-3,487,664",0,"10,000","-10,000","23,275,199","26,752,863","-3,477,664","19,888,530"
00999A,主動野村臺灣高息,"10,949,000","2,542,300","8,406,700",0,0,0,0,0,0,"11,024,062",0,0,0,"14,154,080","3,130,018","11,024,062","19,430,762"
00400A,主動國泰動能高息,"17,670,491","2,185,000","15,485,491",0,0,0,0,0,0,"2,754,931",0,"50,000","-50,000","11,380,771","8,575,840","2,804,931","18,240,422"
00991A,主動復華未來50  ,"20,449,700","8,509,000","11,940,700",0,0,0,0,0,0,"6,156,326","200,000",0,"200,000","18,577,668","12,621,342","5,956,326","18,097,026"
00405A,主動富邦台灣龍耀,"21,950,200","4,569,000","17,381,200",0,0,0,0,0,0,"-43,606",0,0,0,"23,985,814","24,029,420","-43,606","17,337,594"
00997A,主動群益美國增長,"706,625","1,203,050","-496,425",0,0,0,0,0,0,"16,608,102",0,0,0,"18,356,055","1,747,953","16,608,102","16,111,677"
00990A,主動元大AI新經濟,"17,690,512","6,576,200","11,114,312",0,0,0,0,0,0,"3,408,176",0,"237,000","-237,000","11,323,547","7,678,371","3,645,176","14,522,488"
0050,元大台灣50      ,"14,713,179","8,523,348","6,189,831",0,0,0,"4,000,000",0,"4,000,000","3,912,398","1,965,162","422,000","1,543,162","7,898,966","5,529,730","2,369,236","14,102,229"
00878,國泰永續高股息  ,"6,321,962","2,681,250","3,640,712",0,0,0,0,0,0,"10,233,225",0,0,0,"17,161,836","6,928,611","10,233,225","13,873,937"
009820,元大納斯達克精選,"718,000","411,000","307,000",0,0,0,0,0,0,"13,400,865",0,0,0,"14,626,865","1,226,000","13,400,865","13,707,865"
2834,臺企銀          ,"17,078,691","4,744,416","12,334,275",0,0,0,"639,466",0,"639,466","148,000","16,000",0,"16,000","143,000","11,000","132,000","13,121,741"
1326,台化            ,"24,185,122","11,542,391","12,642,731",0,0,0,0,0,0,"239,130","6,000","34,000","-28,000","871,752","604,622","267,130","12,881,861"
00891,中信關鍵半導體  ,"7,685,269","3,126,400","4,558,869",0,0,0,0,0,0,"7,748,102",0,0,0,"10,679,587","2,931,485","7,748,102","12,306,971"
2890,永豐金          ,"38,278,265","24,598,540","13,679,725",0,0,0,0,"1,374,967","-1,374,967","-11,534","4,000","50,000","-46,000","172,466","138,000","34,466","12,293,224"
00988A,主動統一全球創新,"19,000,478","16,257,870","2,742,608",0,0,0,"10,550,000",0,"10,550,000","-1,423,886",0,0,0,"13,398,972","14,822,858","-1,423,886","11,868,722"
2845,遠東銀          ,"9,559,000","5,840,327","3,718,673",0,0,0,"8,053,000","115,000","7,938,000","-3,000",0,0,0,"31,000","34,000","-3,000","11,653,673"
2812,台中銀          ,"12,470,051","2,335,366","10,134,685",0,0,0,"629,256",0,"629,256","98,000",0,0,0,"119,000","21,000","98,000","10,861,941"
1802,台玻            ,"29,909,863","22,376,300","7,533,563",0,0,0,"1,764,000",0,"1,764,000","1,298,469","1,849,000","426,000","1,423,000","1,143,453","1,267,984","-124,531","10,596,032"
1303,南亞            ,"52,590,410","41,198,107","11,392,303",0,0,0,"43,000","428,854","-385,854","-755,091","166,848","60,000","106,848","649,083","1,511,022","-861,939","10,251,358"
