代碼,名稱,領域,說明
2028,威致,鋼鐵工業,無
2029,盛餘,鋼鐵工業,無
2030,彰源,鋼鐵工業,無
2031,新光鋼,鋼鐵工業,無
2032,新鋼,鋼鐵工業,無
2033,佳大,鋼鐵工業,無
2034,允強,鋼鐵工業,無
2038,海光,鋼鐵工業,無
2049,上銀,電機機械,國防產業; 機器人與智慧機械
2059,川湖,電子零組件業,AI伺服器與資料中心
2062,橋椿,居家生活,無
2069,運錩,鋼鐵工業,無
2101,南港,橡膠工業,無
2102,泰豐,橡膠工業,無
2103,台橡,橡膠工業,無
2104,國際中橡,橡膠工業,無
2105,正新,橡膠工業,無
2106,建大,橡膠工業,無
2107,厚生,橡膠工業,無
2108,南帝,橡膠工業,無
2109,華豐,橡膠工業,無
2114,鑫永銓,橡膠工業,無
2115,六暉-KY,汽車工業,無
2201,裕隆,汽車工業,無
2204,中華,汽車工業,智慧駕駛(ADAS/V2X)
2206,三陽工業,汽車工業,無
2207,和泰車,汽車工業,無
2208,台船,航運業,國防產業
2211,長榮鋼,鋼鐵工業,無
2227,裕日車,汽車工業,無
2228,劍麟,汽車工業,智慧駕駛(ADAS/V2X)
2231,為升,汽車工業,智慧駕駛(ADAS/V2X)
2233,宇隆,汽車工業,無
2236,百達-KY,汽車工業,無
2239,英利-KY,汽車工業,無
2241,艾姆勒,汽車工業,功率半導體
2243,宏旭-KY,汽車工業,無
2247,汎德永業,汽車工業,無
2250,IKKA-KY,汽車工業,無
2301,光寶科,電腦及週邊設備業,AI伺服器與資料中心; 智慧駕駛(ADAS/V2X)
2302,麗正,半導體業,無
2303,聯電,半導體業,功率半導體
2305,全友,電腦及週邊設備業,無
2308,台達電,電子零組件業,先進封裝(CoWoS/3DIC); AI伺服器與資料中心; 智慧駕駛(ADAS/V2X); 機器人與智慧機械; 量子電腦
2312,金寶,其他電子業,無
2313,華通,電子零組件業,記憶體產業鏈/熱門股
2314,台揚,通信網路業,無
2316,楠梓電,電子零組件業,先進封裝(CoWoS/3DIC)
2317,鴻海,其他電子業,AI伺服器與資料中心; 智慧駕駛(ADAS/V2X); 機器人與智慧機械
2321,東訊,通信網路業,無
2323,中環,光電業,無
2324,仁寶,電腦及週邊設備業,機器人與智慧機械
2327,國巨,電子零組件業,智慧駕駛(ADAS/V2X)
2328,廣宇,電子零組件業,無
2329,華泰,半導體業,智慧駕駛(ADAS/V2X)
2330,台積電,半導體業,先進封裝(CoWoS/3DIC); AI伺服器與資料中心; 功率半導體; 次世代半導體(GaN/SiC); 智慧駕駛(ADAS/V2X); 量子電腦
2331,精英,電腦及週邊設備業,無
2332,友訊,通信網路業,無
2337,旺宏,半導體業,智慧駕駛(ADAS/V2X)
2338,光罩,半導體業,無
2340,台亞,半導體業,次世代半導體(GaN/SiC)
2342,茂矽,半導體業,功率半導體; 次世代半導體(GaN/SiC)
2344,華邦電,半導體業,智慧駕駛(ADAS/V2X)
2345,智邦,通信網路業,機器人與智慧機械
2347,聯強,電子通路業,無
2348,海悅,其他業,無
2349,錸德,光電業,無
2351,順德,半導體業,功率半導體
2352,佳世達,電腦及週邊設備業,機器人與智慧機械
2353,宏碁,電腦及週邊設備業,智慧駕駛(ADAS/V2X)
2354,鴻準,其他電子業,AI伺服器與資料中心; 機器人與智慧機械
2355,敬鵬,電子零組件業,智慧駕駛(ADAS/V2X)
2356,英業達,電腦及週邊設備業,AI伺服器與資料中心
2357,華碩,電腦及週邊設備業,智慧駕駛(ADAS/V2X); 機器人與智慧機械
2358,廷鑫,其他業,無
2359,所羅門,其他電子業,機器人與智慧機械
