代碼,名稱,領域,說明
5222,全訊,半導體業,功率半導體; 國防產業
5225,東科-KY,其他電子業,無
5234,達興材料,光電業,無
5243,乙盛-KY,光電業,無
5244,弘凱,光電業,無
5258,虹堡,電腦及週邊設備業,無
5269,祥碩,半導體業,無
5283,禾聯碩,電器電纜,無
5284,jpp-KY,其他業,無
5285,界霖,半導體業,功率半導體
5288,豐祥-KY,電機機械,無
5292,華懋,綠能環保,無
5306,桂盟,運動休閒,無
5388,中磊,通信網路業,智慧駕駛(ADAS/V2X)
5434,崇越,電子通路業,無
5469,瀚宇博,電子零組件業,無
5471,松翰,半導體業,無
5484,慧友,光電業,無
5515,建國,建材營造業,無
5519,隆大,建材營造業,無
5521,工信,建材營造業,無
5522,遠雄,建材營造業,無
5525,順天,建材營造業,無
5531,鄉林,建材營造業,無
5533,皇鼎,建材營造業,無
5534,長虹,建材營造業,無
5538,東明-KY,鋼鐵工業,無
5546,永固-KY,建材營造業,無
5607,遠雄港,航運業,無
5608,四維航,航運業,無
5706,鳳凰,觀光餐旅,無
5871,中租-KY,其他業,無
5876,上海商銀,金融保險業,無
5880,合庫金,金融保險業,無
5906,台南-KY,貿易百貨業,無
5907,大洋-KY,貿易百貨業,無
6005,群益證,金融保險業,無
6024,群益期,金融保險業,無
6108,競國,電子零組件業,無
6112,邁達特,資訊服務業,無
6115,鎰勝,電子零組件業,無
6116,彩晶,光電業,無
6117,迎廣,電腦及週邊設備業,無
6120,達運,光電業,無
6128,上福,電腦及週邊設備業,無
6133,金橋,電子零組件業,無
6136,富爾特,通信網路業,無
6139,亞翔,其他電子業,記憶體產業鏈/熱門股
6141,柏承,電子零組件業,無
6142,友勁,通信網路業,無
6152,百一,通信網路業,無
6153,嘉聯益,電子零組件業,無
6155,鈞寶,電子零組件業,無
6164,華興,光電業,無
6165,浪凡,數位雲端,無
6166,凌華,電腦及週邊設備業,機器人與智慧機械
6168,宏齊,光電業,無
6176,瑞儀,光電業,無
6177,達麗,建材營造業,無
6183,關貿,資訊服務業,無
6184,大豐電,其他業,無
6189,豐藝,電子通路業,無
6191,精成科,電子零組件業,無
6192,巨路,其他電子業,無
6196,帆宣,其他電子業,無
6197,佳必琪,電子零組件業,AI伺服器與資料中心
6201,亞弘電,其他電子業,無
6202,盛群,半導體業,智慧駕駛(ADAS/V2X)
6205,詮欣,電子零組件業,智慧駕駛(ADAS/V2X)
6206,飛捷,電腦及週邊設備業,無
6209,今國光,光電業,無
6213,聯茂,電子零組件業,無
6214,精誠,資訊服務業,無
6215,和椿,其他電子業,無
6216,居易,通信網路業,無
6224,聚鼎,電子零組件業,無
6225,天瀚,光電業,無
6226,光鼎,光電業,無
6230,尼得科超眾,電腦及週邊設備業,量子電腦
6235,華孚,電腦及週邊設備業,無
6239,力成,半導體業,量子電腦
6243,迅杰,半導體業,無
6257,矽格,半導體業,無
6269,台郡,電子零組件業,無
6271,同欣電,半導體業,無
6277,宏正,電腦及週邊設備業,無
6278,台表科,光電業,無
6281,全國電,電子通路業,無
6282,康舒,電子零組件業,記憶體產業鏈/熱門股
6283,淳安,其他電子業,智慧駕駛(ADAS/V2X)
6285,啟碁,通信網路業,智慧駕駛(ADAS/V2X)
6288,聯嘉,汽車工業,無
6405,悅城,光電業,無
6409,旭隼,其他電子業,無
6412,群電,電子零組件業,無
6414,樺漢,電腦及週邊設備業,無
6415,矽力*-KY,半導體業,無
6416,瑞祺電通,通信網路業,國防產業
6426,統新,通信網路業,無
6431,光麗-KY,生技醫療業,無
6438,迅得,其他電子業,無
6442,光聖,通信網路業,無
6443,元晶,光電業,記憶體產業鏈/熱門股
6446,藥華藥,生技醫療業,無
6449,鈺邦,電子零組件業,無
6451,訊芯-KY,半導體業,智慧駕駛(ADAS/V2X)
6456,GIS-KY,光電業,無
6464,台數科,其他業,無
6472,保瑞,生技醫療業,無
6477,安集,光電業,無
6491,晶碩,生技醫療業,無
6504,南六,其他業,無
6505,台塑化,油電燃氣業,無
6515,穎崴,半導體業,先進封裝(CoWoS/3DIC)
6525,捷敏-KY,半導體業,功率半導體
6526,達發,半導體業,無
6531,愛普*,半導體業,無
6533,晶心科,半導體業,智慧駕駛(ADAS/V2X)
6541,泰福-KY,生技醫療業,無
6550,北極星藥業-KY,生技醫療業,無
6552,易華電,半導體業,無
6558,興能高,其他電子業,AI伺服器與資料中心
6573,虹揚-KY,半導體業,功率半導體
6579,研揚,電腦及週邊設備業,無
6581,鋼聯,綠能環保,無
6582,申豐,橡膠工業,無
6585,鼎基,其他業,無
6591,動力-KY,電腦及週邊設備業,無
6592,和潤企業,其他業,無
6598,ABC-KY,生技醫療業,無
6605,帝寶,汽車工業,無
6606,建德工業,電機機械,無
6625,必應,其他業,無
6641,基士德-KY,綠能環保,無
6655,科定,其他業,無
6657,華安,生技醫療業,無
6658,聯策,其他電子業,無
6666,羅麗芬-KY,生技醫療業,無
6668,中揚光,光電業,無
6669,緯穎,電腦及週邊設備業,AI伺服器與資料中心
6670,復盛應用,運動休閒,無
6671,三能-KY,居家生活,無
6672,騰輝電子-KY,電子零組件業,無
6674,鋐寶科技,通信網路業,無
6689,伊雲谷,數位雲端,無
6691,洋基工程,其他電子業,無
6695,芯鼎,半導體業,特殊應用積體電路(ASIC)
6698,旭暉應材,其他電子業,無
6706,惠特,光電業,無
6715,嘉基,電子零組件業,無
6719,力智,半導體業,功率半導體
6742,澤米,光電業,無
6743,安普新,其他電子業,無
6753,龍德造船,航運業,國防產業
6754,匯僑設計,居家生活,無
6756,威鋒電子,半導體業,無
6768,志強-KY,運動休閒,無
6770,力積電,半導體業,記憶體產業鏈/熱門股
6776,展碁國際,電子通路業,無
6781,AES-KY,電子零組件業,AI伺服器與資料中心
6782,視陽,生技醫療業,無
6789,采鈺,半導體業,無
6790,永豐實,造紙工業,無
6792,詠業,通信網路業,無
6796,晉弘,生技醫療業,無
6799,來頡,半導體業,無
6805,富世達,電子零組件業,AI伺服器與資料中心
6806,森崴能源,綠能環保,無
6807,峰源-KY,居家生活,無
6830,汎銓,其他電子業,無
6834,天二科技,電子零組件業,無
6835,圓裕,電子零組件業,無
6861,睿生光電,生技醫療業,無
6863,永道-KY,通信網路業,無
6901,鑽石投資,其他業,無
6906,現觀科,數位雲端,無
6914,阜爾運通,其他業,無
6916,華凌,光電業,無
6928,攸泰科技,電腦及週邊設備業,無
6933,AMAX-KY,電腦及週邊設備業,無
6937,天虹,半導體業,無
8011,台通,通信網路業,無
8016,矽創,半導體業,無
8021,尖點,其他電子業,記憶體產業鏈/熱門股
8028,昇陽半導體,半導體業,功率半導體
8033,雷虎,其他業,無
8039,台虹,電子零組件業,記憶體產業鏈/熱門股
8046,南電,電子零組件業,IC載板; 智慧駕駛(ADAS/V2X); 量子電腦
8070,長華*,電子通路業,無
8072,陞泰,電子通路業,無
8081,致新,半導體業,無
8101,華冠,通信網路業,無
8103,瀚荃,電子零組件業,無
8104,錸寶,光電業,AI伺服器與資料中心
8105,凌巨,光電業,無
8110,華東,半導體業,記憶體產業鏈/熱門股
8112,至上,電子通路業,無
8114,振樺電,電腦及週邊設備業,無
8131,福懋科,半導體業,記憶體產業鏈/熱門股
8150,南茂,半導體業,記憶體產業鏈/熱門股
8163,達方,電腦及週邊設備業,無
8201,無敵,其他電子業,無
8210,勤誠,電腦及週邊設備業,AI伺服器與資料中心
8213,志超,電子零組件業,無
8215,明基材,光電業,無
8222,寶一,電機機械,國防產業
8249,菱光,電子零組件業,無
8261,富鼎,半導體業,功率半導體
8271,宇瞻,半導體業,記憶體產業鏈/熱門股
8341,日友,綠能環保,無
8367,建新國際,航運業,無
8374,羅昇,電機機械,機器人與智慧機械
8404,百和興業-KY,其他業,無
8411,福貞-KY,其他業,無
8422,可寧衛,綠能環保,無
8429,金麗-KY,貿易百貨業,無
8438,昶昕,綠能環保,無
8442,威宏-KY,其他業,無
8443,阿瘦,貿易百貨業,無
8454,富邦媒,數位雲端,無
8462,柏文,運動休閒,無
8463,潤泰材,其他業,無
8464,億豐,居家生活,無
8466,美吉吉-KY,其他業,無
8467,波力-KY,運動休閒,無
8473,山林水,綠能環保,無
8476,台境,綠能環保,無
8478,東哥遊艇,運動休閒,無
8481,政伸,其他業,無
8482,商億-KY,居家生活,無
8488,吉源-KY,其他業,無
8499,鼎炫-KY,其他電子業,無
8926,台汽電,油電燃氣業,無
8940,新天地,觀光餐旅,無
8996,高力,電機機械,AI伺服器與資料中心
9802,鈺齊-KY,運動休閒,無
9902,台火,其他業,無
9904,寶成,運動休閒,無
9905,大華,其他業,無
9906,欣巴巴,建材營造業,無
9907,統一實,其他業,無
9908,大台北,油電燃氣業,無
9910,豐泰,運動休閒,無
9911,櫻花,居家生活,無
9912,偉聯,電腦及週邊設備業,無
9914,美利達,運動休閒,無
9917,中保科,其他業,無
9918,欣天然,油電燃氣業,無
9919,康那香,其他業,無
9921,巨大,運動休閒,無
9924,福興,居家生活,無
9925,新保,其他業,無
9926,新海,油電燃氣業,無
9927,泰銘,其他業,無
9928,中視,其他業,無
9929,秋雨,其他業,無
9930,中聯資源,綠能環保,無
9931,欣高,油電燃氣業,無
9933,中鼎,其他業,無
9934,成霖,居家生活,無
9935,慶豐富,居家生活,無
9937,全國,油電燃氣業,無
9938,百和,其他業,無
9939,宏全,其他業,無
9940,信義,其他業,無
9941,裕融,其他業,無
9942,茂順,其他業,無
9943,好樂迪,觀光餐旅,無
9944,新麗,其他業,無
9945,潤泰新,其他業,無
9946,三發地產,建材營造業,無
9955,佳龍,綠能環保,無
9958,世紀鋼,鋼鐵工業,無
0050,元大台灣50,ETF,無
0056,元大高股息,ETF,無
00878,國泰永續高股息,ETF,無
00919,群益台灣精選高息,ETF,無
006208,富邦台50,ETF,無
00937B,群益ESG投等債20+,ETF,無
00679B,元大美債20年,ETF,無
00687B,國泰20年美債,ETF,無
00751B,元大AAA至A公司債,ETF,無
00713,元大台灣高息低波,ETF,無
00725B,國泰投資級公司債,ETF,無
00929,復華台灣科技優息,ETF,無
00720B,元大投資級公司債,ETF,無
00772B,中信高評級公司債,ETF,無
00940,元大台灣價值高息,ETF,無
00724B,群益投資級金融債,ETF,無
00773B,中信優先金融債,ETF,無
00761B,國泰A級公司債,ETF,無
00933B,國泰10Y+金融債,ETF,無
00746B,富邦A級公司債,ETF,無
00918,大華優利高填息30,ETF,無
00881,國泰台灣科技龍頭,ETF,無
00740B,富邦全球投等債,ETF,無
00792B,群益A級公司債,ETF,無
00777B,凱基AAA至A公司債,ETF,無
00662,富邦NASDAQ,ETF,無
00795B,中信美國公債20年,ETF,無
00722B,群益投資級電信債,ETF,無
00778B,凱基金融債20+,ETF,無
00723B,群益投資級科技債,ETF,無
00712,復華富時不動產,ETF,無
00756B,群益投等新興公債,ETF,無
00757,統一FANG+,ETF,無
00950B,凱基A級公司債,ETF,無
00922,國泰台灣領袖50,ETF,無
00764B,群益25年美債,ETF,無
00726B,國泰新興投等債,ETF,無
00953B,群益優選非投等債,ETF,無
00882,中信中國高股息,ETF,無
00692,富邦公司治理,ETF,無
00749B,凱基新興債10+,ETF,無
00785B,富邦金融投等債,ETF,無
00754B,群益AAA-AA公司債,ETF,無
00631L,元大台灣50正2,ETF,無
00900,富邦特選高股息30,ETF,無
00779B,凱基美債25+,ETF,無
00632R,元大台灣50反1,ETF,無
00646,元大S&P500,ETF,無
00939,統一台灣高息動能,ETF,無
00768B,復華20年美債,ETF,無
